#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.23894866   0.0041286796     0.23894866   0.0041286796     0.23894866   0.0041286796
            0.2     0.72978655   0.0065444805     0.72978655   0.0065444805     0.72978655   0.0065444805
            0.4      1.2489312   0.0081228625      1.2489312   0.0081228625      1.2489312   0.0081228625
            0.6      1.8358945   0.0094491621      1.8358945   0.0094491621      1.8358945   0.0094491621
            0.8      2.4650255    0.010654994      2.4650255    0.010654994      2.4650255    0.010654994
              1      3.1938935    0.011895723      3.1938935    0.011895723      3.1938935    0.011895723
            1.2      4.1153063    0.013277918      4.1153063    0.013277918      4.1153063    0.013277918
            1.4        5.38078    0.014924944        5.38078    0.014924944        5.38078    0.014924944
            1.6      7.0814703    0.016869693      7.0814703    0.016869693      7.0814703    0.016869693
            1.8      9.6167182     0.01935834      9.6167182     0.01935834      9.6167182     0.01935834
              2      13.441976     0.02252642      13.441976     0.02252642      13.441976     0.02252642
            2.2      19.551108    0.026695633      19.551108    0.026695633      19.551108    0.026695633
            2.4      29.400387    0.032055108      29.400387    0.032055108      29.400387    0.032055108
            2.6      45.408073     0.03873191      45.408073     0.03873191      45.408073     0.03873191
            2.8      70.099973    0.046233805      70.099973    0.046233805      70.099973    0.046233805
              3      88.319222    0.050366049      88.319222    0.050366049      88.319222    0.050366049
            3.2      38.488839    0.035821814      38.488839    0.035821814      38.488839    0.035821814
            3.4      18.905218    0.025913669      18.905218    0.025913669      18.905218    0.025913669
            3.6      10.416936    0.019593478      10.416936    0.019593478      10.416936    0.019593478
            3.8      6.0569424    0.015202397      6.0569424    0.015202397      6.0569424    0.015202397
              4      3.6436672    0.012021105      3.6436672    0.012021105      3.6436672    0.012021105
            4.2      2.2893637   0.0097001504      2.2893637   0.0097001504      2.2893637   0.0097001504
            4.4      1.4792812   0.0080392255      1.4792812   0.0080392255      1.4792812   0.0080392255
            4.6     0.97008795   0.0068102676     0.97008795   0.0068102676     0.97008795   0.0068102676
            4.8     0.65929456   0.0059029148     0.65929456   0.0059029148     0.65929456   0.0059029148
              5     0.65929456   0.0059029148     0.65929456   0.0059029148     0.65929456   0.0059029148
