#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.50522157   0.0058739473     0.50522157   0.0058739473     0.50522157   0.0058739473
            0.2      1.4010216   0.0088344085      1.4010216   0.0088344085      1.4010216   0.0088344085
            0.4      2.2437795    0.010518166      2.2437795    0.010518166      2.2437795    0.010518166
            0.6      3.0804516     0.01187592      3.0804516     0.01187592      3.0804516     0.01187592
            0.8      3.8809171    0.013044471      3.8809171    0.013044471      3.8809171    0.013044471
              1      4.7144221    0.014158575      4.7144221    0.014158575      4.7144221    0.014158575
            1.2      5.6769207    0.015364186      5.6769207    0.015364186      5.6769207    0.015364186
            1.4        7.06051    0.016915929        7.06051    0.016915929        7.06051    0.016915929
            1.6      8.9257669    0.018782381      8.9257669    0.018782381      8.9257669    0.018782381
            1.8      11.681117    0.021209823      11.681117    0.021209823      11.681117    0.021209823
              2      15.851239    0.024359682      15.851239    0.024359682      15.851239    0.024359682
            2.2      22.584084    0.028565119      22.584084    0.028565119      22.584084    0.028565119
            2.4      33.193875    0.033913108      33.193875    0.033913108      33.193875    0.033913108
            2.6      50.333213    0.040534812      50.333213    0.040534812      50.333213    0.040534812
            2.8      75.865531    0.047722918      75.865531    0.047722918      75.865531    0.047722918
              3      91.777145    0.051094252      91.777145    0.051094252      91.777145    0.051094252
            3.2       29.54749    0.031778966       29.54749    0.031778966       29.54749    0.031778966
            3.4      10.185393    0.019412496      10.185393    0.019412496      10.185393    0.019412496
            3.6      4.1187745    0.012840535      4.1187745    0.012840535      4.1187745    0.012840535
            3.8      1.9070036   0.0091543484      1.9070036   0.0091543484      1.9070036   0.0091543484
              4     0.96485302   0.0067739782     0.96485302   0.0067739782     0.96485302   0.0067739782
            4.2     0.52973784   0.0051474572     0.52973784   0.0051474572     0.52973784   0.0051474572
            4.4     0.31072024    0.003987843     0.31072024    0.003987843     0.31072024    0.003987843
            4.6     0.17804704   0.0032175585     0.17804704   0.0032175585     0.17804704   0.0032175585
            4.8    0.095450467   0.0023972333    0.095450467   0.0023972333    0.095450467   0.0023972333
              5    0.095450467   0.0023972333    0.095450467   0.0023972333    0.095450467   0.0023972333
