# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      17.262815    0.024681538      17.262815    0.024681538      17.262815    0.024681538
            0.2      17.134818      0.0245835      17.134818      0.0245835      17.134818      0.0245835
            0.4      16.973032    0.024482206      16.973032    0.024482206      16.973032    0.024482206
            0.6      16.902881    0.024447539      16.902881    0.024447539      16.902881    0.024447539
            0.8      16.995282    0.024540647      16.995282    0.024540647      16.995282    0.024540647
              1       17.40607    0.024853475       17.40607    0.024853475       17.40607    0.024853475
            1.2      18.038551    0.025322841      18.038551    0.025322841      18.038551    0.025322841
            1.4       19.10113    0.026073017       19.10113    0.026073017       19.10113    0.026073017
            1.6      20.506281    0.027038168      20.506281    0.027038168      20.506281    0.027038168
            1.8      22.495815    0.028317912      22.495815    0.028317912      22.495815    0.028317912
              2      25.159858     0.02992774      25.159858     0.02992774      25.159858     0.02992774
            2.2      28.550877    0.031867349      28.550877    0.031867349      28.550877    0.031867349
            2.4      32.967497    0.034175137      32.967497    0.034175137      32.967497    0.034175137
            2.6      38.518802    0.036817679      38.518802    0.036817679      38.518802    0.036817679
            2.8      44.463307    0.039424382      44.463307    0.039424382      44.463307    0.039424382
              3      34.237401    0.035184264      34.237401    0.035184264      34.237401    0.035184264
            3.2      34.237401    0.035184264      34.237401    0.035184264      34.237401    0.035184264
