#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.10076911   0.0002324314     0.10076911   0.0002324314     0.10076911   0.0002324314
            360     0.23166223  0.00031145583     0.23166223  0.00031145583     0.23166223  0.00031145583
            380     0.26359888  0.00031466472     0.26359888  0.00031466472     0.26359888  0.00031466472
            400     0.26869655  0.00030966229     0.26869655  0.00030966229     0.26869655  0.00030966229
            420     0.25963675  0.00030181002     0.25963675  0.00030181002     0.25963675  0.00030181002
            440      0.2447092  0.00029188707      0.2447092  0.00029188707      0.2447092  0.00029188707
            460     0.22699626  0.00028079176     0.22699626  0.00028079176     0.22699626  0.00028079176
            480     0.20823304  0.00026892028     0.20823304  0.00026892028     0.20823304  0.00026892028
            500     0.18904698  0.00025652883     0.18904698  0.00025652883     0.18904698  0.00025652883
            520     0.17230482  0.00024521147     0.17230482  0.00024521147     0.17230482  0.00024521147
            540     0.15606818  0.00023381939     0.15606818  0.00023381939     0.15606818  0.00023381939
            560     0.14106562  0.00022266469     0.14106562  0.00022266469     0.14106562  0.00022266469
            580     0.12715092  0.00021188416     0.12715092  0.00021188416     0.12715092  0.00021188416
            600      0.1148566  0.00020171317      0.1148566  0.00020171317      0.1148566  0.00020171317
            620     0.10330758  0.00019163967     0.10330758  0.00019163967     0.10330758  0.00019163967
            640    0.093576293  0.00018265106    0.093576293  0.00018265106    0.093576293  0.00018265106
            660    0.084569867  0.00017380078    0.084569867  0.00017380078    0.084569867  0.00017380078
            680    0.076399817  0.00016531088    0.076399817  0.00016531088    0.076399817  0.00016531088
            700    0.069004201  0.00015724004    0.069004201  0.00015724004    0.069004201  0.00015724004
            720     0.06242017   0.0001496718     0.06242017   0.0001496718     0.06242017   0.0001496718
            740    0.056772618  0.00014275728    0.056772618  0.00014275728    0.056772618  0.00014275728
            760    0.051652826  0.00013631045    0.051652826  0.00013631045    0.051652826  0.00013631045
            780    0.046640369  0.00012950476    0.046640369  0.00012950476    0.046640369  0.00012950476
            800     0.04249025  0.00012370534     0.04249025  0.00012370534     0.04249025  0.00012370534
            820    0.038515885   0.0001177699    0.038515885   0.0001177699    0.038515885   0.0001177699
            840     0.03535279  0.00011282855     0.03535279  0.00011282855     0.03535279  0.00011282855
            860    0.032155273  0.00010764775    0.032155273  0.00010764775    0.032155273  0.00010764775
            880    0.029233771  0.00010262945    0.029233771  0.00010262945    0.029233771  0.00010262945
            900    0.026762262  9.8212669e-05    0.026762262  9.8212669e-05    0.026762262  9.8212669e-05
            920    0.024398457  9.3829709e-05    0.024398457  9.3829709e-05    0.024398457  9.3829709e-05
            940    0.022206567   8.946835e-05    0.022206567   8.946835e-05    0.022206567   8.946835e-05
            960    0.020543723  8.5988988e-05    0.020543723  8.5988988e-05    0.020543723  8.5988988e-05
            980    0.018862986  8.2453541e-05    0.018862986  8.2453541e-05    0.018862986  8.2453541e-05
           1000    0.018862986  8.2453541e-05    0.018862986  8.2453541e-05    0.018862986  8.2453541e-05
