# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       2.112561   0.0087618362      1.5050654   0.0062490422      3.7360555    0.016844423
            0.2      5.9600782    0.014634994      4.2467354    0.010440526      10.461179    0.028614415
            0.4      9.1897422     0.01807695      6.5494925     0.01290047      15.969217    0.040570631
            0.6      11.656004    0.020311212       8.307434    0.014498106      20.023004    0.038839462
            0.8      13.669329    0.021957229       9.743222    0.015677053       23.20777    0.040852495
              1      15.272965    0.023204798       10.88442    0.016569347       25.64542    0.043063853
            1.2      16.782299    0.024316738      11.959078    0.017365714      27.881596    0.047734337
            1.4      18.217032    0.025335148      12.979143    0.018094364      29.981015    0.047712832
            1.6      19.888199    0.026479299      14.167062    0.018915043      32.436761     0.05636442
            1.8      21.731334    0.027687925      15.476033    0.019780259      35.124954    0.052181572
              2      24.149806    0.029183594      17.194142    0.020852593      38.818843    0.056787599
            2.2      27.146691    0.030911332      19.322682    0.022090866      43.338184    0.060389453
            2.4      31.033942    0.033009331      22.082103    0.023595029      49.004003    0.059602061
            2.6       35.88641    0.035424857      25.521769    0.025325391      55.673298    0.069137975
            2.8      41.631875    0.038051496      29.590335    0.027207178      62.405952    0.067584184
              3       43.12775     0.03882207      30.623075    0.027748311      62.463695    0.055903818
            3.2      20.228731    0.027398014      14.314003    0.019514818      29.417256    0.039618683
            3.4      10.914263     0.02040167      7.6973245    0.014481651      15.934011    0.029623084
            3.6      6.5379484    0.015929397      4.5994734    0.011277832      9.5729394    0.023202222
            3.8      4.0753433    0.012703761      2.8602538   0.0089729445      5.9837437    0.018558123
              4      2.6297751    0.010289476      1.8420216   0.0072514366      3.8704557    0.015072661
            4.2       1.685971   0.0083554436       1.179026   0.0058791802      2.4861845    0.012264761
            4.4      1.0951183   0.0068554664     0.76434173   0.0048147557      1.6185405     0.01008693
            4.6     0.71924556   0.0056585425      0.5016338   0.0039714906      1.0640068   0.0083341543
            4.8     0.47525121   0.0046709724     0.33105956   0.0032700514     0.70408028   0.0069006871
              5     0.47525121   0.0046709724     0.33105956   0.0032700514     0.70408028   0.0069006871
