#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8899934    0.023468352    -0.63852619    0.033324117      4.4185129    0.021387684
            0.2      2.2162063    0.020731247    -0.26899066    0.028675363      4.7014031    0.021472268
            0.4      2.5204762    0.020706792    0.060273691    0.029029962      4.9806774    0.020852334
            0.6       2.888157    0.032035065     0.39447069    0.046565223      5.3818422    0.033231934
            0.8      3.4587098    0.019489967     0.92635308    0.026780401      5.9910665    0.022286155
              1       4.155885    0.026551084      1.5025633    0.033143336      6.8092068      0.0295839
            1.2      5.2173099    0.022430724      2.3842876    0.029410673      8.0503323    0.025339108
            1.4      6.8992993    0.028296676      3.7729796    0.031656612      10.025619    0.036923814
            1.6      9.1850619     0.03504029      5.6537741    0.047375337       12.71635    0.034158312
            1.8       13.04059    0.034810197      9.0580488    0.044201579       17.02313    0.041153465
              2      18.970535    0.039070599       14.27813    0.050186653      23.662941    0.048737616
            2.2      28.735449    0.046776153      23.278257    0.057020659      34.192637    0.053908052
            2.4      44.737322    0.056244937       38.23423    0.067968567      51.240418    0.061970029
            2.6      70.168788    0.064893896      62.468078    0.085212232      77.869498    0.073719331
            2.8      106.39391    0.074030085      97.677618    0.080764731      115.11021    0.082520135
              3      95.835007    0.068018623      89.226072    0.071355016      102.44394    0.081104452
            3.2      95.835007    0.068018623      89.226072    0.071355016      102.44394    0.081104452
