#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  -0.0056664787  0.00070788423   -0.026113809  0.00094692714    0.014780857  0.00050189075
             10    0.024411343  0.00066198387   -0.024702454  0.00098318482    0.073525143  0.00045056028
             20    0.068799197  0.00082511946  -0.0002922546   0.0013284364     0.13789067  0.00057609374
             30     0.12089306  0.00058398711    0.039029209  0.00088291521     0.20275692  0.00057080769
             40     0.16968314  0.00062782618    0.080391645  0.00085139611     0.25897463  0.00068767292
             50      0.2144404  0.00059952254     0.12209036  0.00090152769     0.30679044   0.0007164255
             60     0.25803498  0.00059848966     0.16585049   0.0007559384     0.35021947  0.00073151387
             70     0.29405686  0.00069190513     0.20358624    0.001086784     0.38452753   0.0010632998
             80     0.32256373  0.00063388654     0.23663148  0.00073895224     0.40849594  0.00085010864
             90     0.34486628  0.00069268235     0.26574446  0.00074960355     0.42398809  0.00094974654
            100     0.35969388   0.0006874494     0.28716243  0.00070848282     0.43222531  0.00091803001
            110     0.36800991  0.00072642785     0.30186262   0.0006884682      0.4341572  0.00099254846
            120       0.371383  0.00069370355     0.31207588  0.00069998741     0.43069012   0.0009407337
            130     0.36603571  0.00074645277     0.31303065  0.00077040836     0.41904076  0.00095094042
            140     0.36007109  0.00069395118     0.31271171  0.00068394854     0.40743046  0.00091157747
            150       0.348049  0.00068890749     0.30730358  0.00068016866     0.38879444  0.00085654741
            160     0.33391577  0.00066317411     0.29812997  0.00076092659     0.36970162   0.0007414333
            170     0.31829808  0.00062148048      0.2867166  0.00065029945     0.34987952  0.00071950633
            180     0.29901224  0.00058819475     0.27156843  0.00063651828     0.32645604  0.00063986542
            190     0.28170462  0.00060251073     0.25743476  0.00066508116     0.30597445  0.00067821183
            200     0.26190804  0.00056362347     0.24101321  0.00065103716     0.28280285  0.00055524717
            210     0.24329295  0.00059478735     0.22527443  0.00071215841     0.26131146  0.00055640787
            220     0.22584924   0.0005225284     0.20988682  0.00057632349     0.24181169  0.00053310745
            230     0.20838249  0.00046787391     0.19486251  0.00050446099     0.22190247  0.00047095974
            240     0.19225555   0.0004388864     0.18074129  0.00046501972     0.20376983  0.00043850481
            250     0.17589426  0.00045615943     0.16573246  0.00052317248     0.18605606  0.00042570765
            260     0.16033784  0.00040303354     0.15163263  0.00041497865     0.16904306  0.00041317205
            270     0.14629307  0.00036438538      0.1388091  0.00037659642     0.15377704  0.00036738664
            280     0.13368343  0.00050360748     0.12709716  0.00063659741     0.14026969  0.00040413597
            290     0.12179726  0.00032535859     0.11619317  0.00032630846     0.12740136  0.00033152389
            300     0.11095969  0.00030326267     0.10609912  0.00030128521     0.11582026  0.00031108532
            310     0.10060773  0.00032559476    0.096334661   0.0003476099     0.10488079  0.00031350745
            320    0.091696156  0.00029399896    0.087916625  0.00031317124    0.095475685  0.00028682579
            330    0.083226748  0.00026425562    0.080001396    0.000267313    0.086452104  0.00026705114
            340    0.075628289  0.00026053248    0.072828618  0.00027436568    0.078427952   0.0002556286
            350    0.068614393  0.00023396687    0.066149225  0.00023185215    0.071079559  0.00023912086
            360    0.061977154   0.0002230891    0.059857847  0.00022139376    0.064096464  0.00022718608
            370    0.056297935  0.00021951289    0.054388467  0.00022305655    0.058207403  0.00021948241
            380    0.051782096   0.0002031916     0.05013824  0.00020156439    0.053425958  0.00020665779
            390    0.046688065  0.00019287219    0.045244863  0.00019186168    0.048131269    0.000195702
            400    0.042271846  0.00018398827    0.041012975  0.00018269369    0.043530725  0.00018670395
