#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.5401545     0.01228187      1.8059088   0.0088278785      3.6748044    0.017599707
            0.2      7.1718327    0.019319225      5.1007714    0.013818414      10.370927     0.02781727
            0.4      10.893315    0.024033323       7.751142    0.017200237      15.744592    0.034587518
            0.6        13.7809     0.02677163       9.811282    0.019201481      19.905273    0.038439629
            0.8      15.941973    0.030039551      11.354126    0.021568985      23.016741    0.043091672
              1      17.686431    0.031932103      12.600169    0.022994861       25.52703    0.045657863
            1.2      19.220062    0.035620244      13.698596    0.025961357      27.727698    0.050301931
            1.4      20.741482    0.038628192      14.790014    0.028148635      29.907161    0.054544995
            1.6      22.471202    0.038198479      16.031462    0.027650705      32.384063    0.054357666
            1.8      24.385837    0.036822802      17.405759    0.026724157      35.125459    0.052221824
              2      26.945716    0.039746285      19.239388    0.029064496      38.799092    0.055985453
            2.2      30.110185    0.042578998      21.507954    0.031106454      43.336546    0.059960325
            2.4      33.985019    0.045459825      24.273497    0.033340357      48.918724    0.063795267
            2.6       38.63787    0.045747225      27.571782    0.032998219      55.668951    0.065324548
            2.8       43.32983    0.048709327      30.856881    0.035687321      62.560995    0.068514543
              3      41.903703    0.065495436      29.706953    0.048509114      60.784601    0.090859152
            3.2      19.476445    0.049195424      13.753465    0.036193351      28.378982    0.068747681
            3.4       10.42005    0.031538529      7.3338255    0.022999669      15.241308    0.044535119
            3.6      6.1127794    0.026681681      4.2844756    0.019389179      8.9821698    0.037834051
            3.8      3.8096686    0.021355408      2.6620939    0.015390473       5.617072    0.030574102
              4      2.3970925    0.019047714      1.6680024    0.013690169      3.5504086    0.027357058
            4.2      1.5268283    0.022313588      1.0589635    0.015997946      2.2694551    0.032084787
            4.4     0.98974709    0.013499529     0.68446342   0.0096807014      1.4757788    0.019453108
            4.6     0.63255551    0.015755308      0.4343983    0.011411775     0.95004629    0.022437689
            4.8     0.41553826    0.013137742      0.2828311   0.0097233034     0.62986771    0.018289053
              5     0.41553826    0.013137742      0.2828311   0.0097233034     0.62986771    0.018289053
