# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.5830404    0.011624386      1.8368255   0.0082648485      3.7360555    0.016844423
            0.2      7.2381524    0.019953043      5.1506619    0.014332986      10.461179    0.028614415
            0.4      11.057616     0.02817584      7.8740623    0.020149261      15.969217    0.040570631
            0.6      13.869218    0.026981043      9.8789818    0.019305304      20.023004    0.038839462
            0.8      16.084319    0.028453918      11.462492    0.020406229       23.20777    0.040852495
              1      17.778028    0.029975803      12.672092     0.02148409       25.64542    0.043063853
            1.2      19.335787    0.033527214      13.787362    0.024244119      27.881596    0.047734337
            1.4      20.799565    0.033560521       14.83619    0.024298096      29.981015    0.047712832
            1.6      22.510991    0.040219799      16.062153    0.029524461      32.436761     0.05636442
            1.8      24.384899    0.036742791      17.404734    0.026629349      35.124954    0.052181572
              2      26.959498     0.04014891      19.249314    0.029212933      38.818843    0.056787599
            2.2      30.107428    0.042907632      21.503394    0.031370227      43.338184    0.060389453
            2.4      34.043212    0.042059992      24.314268    0.030542168      49.004003    0.059602061
            2.6      38.642604    0.048903916      27.576284    0.035584353      55.673298    0.069137975
            2.8      43.222125     0.04788417      30.779896    0.034923473      62.405952    0.067584184
              3      41.890803    0.062800616      29.692529    0.046451712      60.776906    0.087298151
            3.2      19.289205    0.045650145      13.610619    0.033971301      28.128505    0.063146222
            3.4      10.288931    0.035082708      7.2320432    0.025621052      15.069643    0.049471471
            3.6      6.0208412    0.030409843      4.2150651    0.022252952      8.8575602    0.042798372
            3.8      3.6859527    0.024092023      2.5707254    0.017432811      5.4451469    0.034333589
              4      2.3425325     0.02458574      1.6271969    0.017889475      3.4756701    0.034805291
            4.2      1.4706575    0.022226554      1.0166277    0.015952252      2.1931711    0.031972956
            4.4     0.97061815    0.014386828     0.66890215    0.010324302      1.4523513    0.020713544
            4.6     0.60354365    0.011989069     0.41375087   0.0086699296      0.9079117    0.017121849
            4.8     0.38237118    0.019867159     0.25870823    0.014489267      0.5827958    0.028148849
              5     0.38237118    0.019867159     0.25870823    0.014489267      0.5827958    0.028148849
