#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.8931426    0.015218343       2.769553    0.010913781      5.6275304    0.021853837
            0.2      10.661532    0.027631196      7.5877319    0.020084397      15.403963    0.039142945
            0.4      15.390269    0.031561258      10.956217    0.022961527      22.228889    0.044676507
            0.6      18.343874    0.040754895       13.06108    0.029697797      26.490177    0.057564379
            0.8      19.933379    0.033308233      14.196256    0.024046783      28.778523    0.047497184
              1       20.90914    0.036982901      14.892163    0.026840599      30.185794    0.052461944
            1.2      21.649099    0.036622152      15.422097    0.026521276      31.248501    0.052054768
            1.4      22.434763    0.038050535      15.989834     0.02764624      32.366022     0.05388539
            1.6      23.522984    0.038757921      16.770576    0.028129737       33.92559    0.054958578
            1.8      25.217808    0.038260467      17.988766    0.027797892      36.349156    0.054203253
              2      27.483586    0.042449123      19.614645    0.031004646      39.595068     0.05979849
            2.2      30.525046    0.044084471      21.790739    0.032214938      43.965319    0.062080911
            2.4      34.316717    0.048468508      24.495207    0.035313932      49.430994    0.068429811
            2.6      38.852466    0.044684138      27.710972    0.032488659      56.010272    0.063289373
            2.8      43.212441     0.04858254       30.74648    0.035160142      62.450453     0.06910588
              3      39.904883    0.064324072       28.23629    0.047643936      58.000899    0.089281168
            3.2      12.306527    0.044243526      8.6184211    0.032877288      18.094994    0.061353145
            3.4       4.446246    0.026549423      3.0878307     0.01905641      6.6010999    0.038215949
            3.6      1.8343252    0.021353971      1.2623629    0.015137376      2.7514514    0.031127078
            3.8     0.81424977    0.014575506     0.55518728    0.010373615      1.2341306    0.021187752
              4     0.36717942   0.0091846653     0.24880978   0.0063742505     0.56063586    0.013720033
            4.2     0.16181867   0.0059871062     0.10844241   0.0041619595     0.25015042   0.0089398881
            4.4    0.076021451   0.0034184334    0.050765293   0.0023353117     0.11808942    0.005196034
            4.6    0.034566936   0.0020723571    0.022929252   0.0013905261    0.054117162   0.0032181529
            4.8    0.010271402   0.0040717106    0.006433917   0.0029315448    0.017008157   0.0058418701
              5    0.010271402   0.0040717106    0.006433917   0.0029315448    0.017008157   0.0058418701
