#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.027394867    0.013230053   0.0055333822   0.0098859081    0.069025003    0.018165546
           -3.8     0.13328231    0.014349231    0.076497732    0.010721169     0.23159929    0.019717462
           -3.6     0.39056465    0.017345914      0.2551985    0.012905864     0.61321708    0.023982651
           -3.4     0.75820144    0.022435922     0.51146059    0.016883332      1.1562817    0.030572555
           -3.2      1.3561182    0.016620889     0.93346808    0.012027027      2.0285824     0.02368499
             -3      2.2022117    0.018562466      1.5298232    0.013522593      3.2639687    0.026274755
           -2.8      3.3875238    0.022553433      2.3715237    0.016112269      4.9813788    0.032614213
           -2.6      4.8422068    0.023362804      3.4072232    0.017032702      7.0822301    0.033000883
           -2.4      6.7038026    0.027970917      4.7371397    0.020449557      9.7614319    0.039381158
           -2.2      8.7357745    0.027808806      6.1874481    0.020491184      12.688012    0.038917139
             -2      10.988952    0.027660765      7.8025231    0.020050167      15.918593    0.039299404
           -1.8      13.294134    0.028801623      9.4585506    0.020864207      19.215709    0.040940687
           -1.6      15.485735    0.034077319      11.029575    0.025151947      22.357563    0.047685568
           -1.4      17.358896    0.036292457      12.377612    0.026510224      25.032051    0.051113318
           -1.2      18.871885    0.033825328      13.465245    0.024654098      27.194767    0.047772358
             -1      20.005463    0.032253136      14.281457    0.023328261      28.812413    0.045903589
           -0.8      20.574263    0.032254623      14.690987    0.023388593      29.624147    0.045783041
           -0.6      21.026991    0.036084282       15.02041    0.026538923      30.263373    0.050507763
           -0.4      21.063624    0.031735121      15.044358    0.022965408      30.320996    0.045132182
           -0.2      21.058667    0.031473385      15.040997    0.022734321      30.313681    0.044846275
              0      21.054387    0.032274663      15.038969    0.023370099      30.304983    0.045873999
            0.2      21.042822    0.032569694      15.029708    0.023576035      30.290301    0.046308682
            0.4       20.82762    0.033576408      14.874106    0.024434703      29.984221    0.047477865
            0.6       20.55635    0.032714366      14.678615    0.023763829      29.597379    0.046374347
            0.8      19.862613    0.032388939      14.180247    0.023493216       28.60488    0.045963343
              1      18.822278    0.031336216      13.432275    0.022685683      27.117784    0.044557858
            1.2       17.31016    0.032038223       12.34514    0.023317185      24.956398    0.045331906
            1.4      15.489368    0.030471231      11.036006     0.02206026      22.354428    0.043336443
            1.6      13.266548    0.028345309      9.4378496     0.02049595      19.177928    0.040369146
            1.8      11.043469    0.028253718      7.8424387    0.020536214      15.994871    0.040034391
              2      8.8262213    0.025246359      6.2533039    0.018240787      12.815306    0.036009757
            2.2      6.7602479    0.025565361       4.774761    0.018578801      9.8484208    0.036232895
            2.4      5.0121368    0.021244474      3.5275252    0.015339029      7.3293525    0.030319311
            2.6      3.4948708    0.025059716      2.4464405    0.018035064      5.1393567    0.035869978
            2.8      2.3358359    0.020488342      1.6237327     0.01499472      3.4597259    0.028809788
              3       1.461827    0.026925001      1.0053148    0.019824633      2.1885289    0.037576291
            3.2     0.90944389    0.013614458      0.6184544   0.0099256852      1.3766584    0.019244552
            3.4     0.49986924    0.012866297     0.33157603   0.0094060259     0.77457879    0.018127261
            3.6     0.26196763    0.012127409     0.16736449   0.0089849259     0.41956122     0.01682896
            3.8     0.11975381   0.0093690446     0.06994153   0.0069436865     0.20576414    0.013008413
              4     0.11975381   0.0093690446     0.06994153   0.0069436865     0.20576414    0.013008413
