#     massHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              5              0              0              0              0              0              0
             10              0              0              0              0              0              0
             15              0              0              0              0              0              0
             20              0              0              0              0              0              0
             25              0              0              0              0              0              0
             30              0              0              0              0              0              0
             35              0              0              0              0              0              0
             40              0              0              0              0              0              0
             45              0              0              0              0              0              0
             50              0              0              0              0              0              0
             55              0              0              0              0              0              0
             60              0              0              0              0              0              0
             65              0              0              0              0              0              0
             70              0              0              0              0              0              0
             75              0              0              0              0              0              0
             80              0              0              0              0              0              0
             85              0              0              0              0              0              0
             90              0              0              0              0              0              0
             95              0              0              0              0              0              0
            100              0              0              0              0              0              0
            105              0              0              0              0              0              0
            110              0              0              0              0              0              0
            115              0              0              0              0              0              0
            120      8.3255429   0.0042911371      5.9233682   0.0031437263      12.034201   0.0060309768
            125      8.3269651   0.0043720028      5.9244888    0.003214218      12.036027   0.0061223566
            130              0              0              0              0              0              0
            135              0              0              0              0              0              0
            140              0              0              0              0              0              0
            145              0              0              0              0              0              0
            150              0              0              0              0              0              0
            155              0              0              0              0              0              0
            160              0              0              0              0              0              0
            165              0              0              0              0              0              0
            170              0              0              0              0              0              0
            175              0              0              0              0              0              0
            180              0              0              0              0              0              0
            185              0              0              0              0              0              0
            190              0              0              0              0              0              0
            195              0              0              0              0              0              0
            200              0              0              0              0              0              0
