#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.3641143   0.0059056221     0.33251105   0.0061917814      0.3957177   0.0057019596
            0.2     0.85433757   0.0086883392     0.75276906   0.0095258128     0.95590627    0.008077538
            0.4      1.2083522   0.0096416271       1.009972    0.010725839      1.4067328   0.0089193192
            0.6      1.5504823    0.010208252      1.2399326    0.011508441      1.8610315   0.0094444789
            0.8      1.8499677    0.010478714      1.4107081    0.011957499      2.2892272   0.0097819987
              1      2.2039193    0.011503883      1.6344997    0.013212514      2.7733394    0.010633817
            1.2      2.6872915    0.011057203      1.9970471    0.011978344      3.3775359    0.010950937
            1.4      3.4627052    0.012451333      2.6286141     0.01377995      4.2967964    0.012128956
            1.6       4.628389    0.012645615      3.6555808    0.013291043      5.6011975    0.013076048
            1.8      6.4611649    0.013913618      5.3320591    0.013729297      7.5902707    0.014882349
              2      9.3866738    0.016376089      8.0611373    0.016041744      10.712211    0.017475571
            2.2      14.347159    0.020126698      12.770839    0.021288677       15.92348    0.022125722
            2.4       22.57313    0.024424606      20.694506    0.023511963      24.451753    0.025877877
            2.6      36.529271    0.030638767      34.292931    0.029608213       38.76561    0.032074243
            2.8      58.357202    0.037743237      55.757946    0.036690262      60.956457    0.039107107
              3      73.210199    0.041856801      70.370088    0.040796568       76.05031    0.043208061
            3.2      23.376012    0.026513727      21.621654    0.025163637       25.13037    0.028303469
            3.4      8.2050427    0.017016415      7.4610097     0.01588859      8.9490754     0.01893387
            3.6      3.2475162    0.012211837      2.9449513    0.011562934      3.5500805    0.013251887
            3.8      1.3183722   0.0077911883       1.189583   0.0075903427      1.4471612   0.0081797342
              4     0.51841556   0.0058518449     0.46006296   0.0060503447     0.57676823   0.0057805876
            4.2     0.18180132   0.0037393823     0.15453299   0.0038578511     0.20906956   0.0036647848
            4.4    0.048930554    0.002692081    0.035036056   0.0028240996    0.062825156   0.0025834709
            4.6  -0.0049211047   0.0020974903   -0.012097805    0.002224762   0.0022556352   0.0019833972
            4.8   -0.016779862     0.00161203    -0.02040505   0.0017089259   -0.013154622   0.0015229604
              5   -0.016779862     0.00161203    -0.02040505   0.0017089259   -0.013154622   0.0015229604
