#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.6682145   0.0091475326      1.9047244   0.0065480644      3.8427933    0.013151169
            0.2      7.4013925    0.015068122      5.2835936    0.010790792      10.659279    0.021652807
            0.4       10.80626    0.018054947      7.7149112    0.012943456      15.561138    0.025916731
            0.6       12.89534    0.019693292      9.2069885    0.014124576      18.567889    0.028254213
            0.8      13.925388     0.02007266      9.9403248    0.014401011      20.055455    0.028788021
              1      14.501482    0.020443729      10.350007     0.01467274      20.888498    0.029309132
            1.2      14.832289     0.02054897      10.583779    0.014755301      21.369954    0.029445535
            1.4        15.1292    0.020836524      10.793873    0.014985189      21.801292    0.029809638
            1.6      15.624104    0.021063142      11.144792    0.015146033      22.518612    0.030137679
            1.8      16.450592    0.021636933      11.731398    0.015575841      23.715267    0.030924043
              2      17.620731    0.022578001      12.563396    0.016266331       25.40638    0.032241926
            2.2      19.316303    0.023969066       13.76778    0.017309386      27.859636    0.034149024
            2.4       21.63067      0.0257608       15.41166    0.018610601      31.208373    0.036682194
            2.6      24.597586    0.027499499      17.514125    0.019937627       35.51193    0.039031988
            2.8      28.330739    0.029929502      20.158899    0.021646242      40.929052    0.042574193
              3      28.134548     0.03027691      19.998739    0.021891859      40.691371    0.043087305
            3.2      8.2849206    0.016919088      5.8641978    0.012136286      12.045269    0.024309542
            3.4      2.7104775    0.010274283      1.9104599   0.0073192846      3.9611272    0.014893273
            3.6      1.0079016   0.0063411297     0.70836014   0.0044728835      1.4782996   0.0092980901
            3.8     0.39332667   0.0042834529     0.27573383   0.0029953812     0.57861349   0.0063499966
              4      0.1519718   0.0029507406     0.10669444   0.0020451286     0.22323695   0.0044196358
            4.2    0.059940373   0.0019408245     0.04197368   0.0013367955    0.088314011   0.0029281164
            4.4    0.019912779   0.0013242706     0.01414076  0.00090342526    0.028854531    0.002018285
            4.6   0.0070216118  0.00094475931    0.005089514  0.00063581382   0.0099051519   0.0014631811
            4.8   0.0014527189  0.00090779038   0.0011346354  0.00063485728   0.0018450861   0.0012010607
              5   0.0014527189  0.00090779038   0.0011346354  0.00063485728   0.0018450861   0.0012010607
