# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      171.95984    0.054252999      122.80588    0.039430089      247.44936    0.076817596
            3.2      86.645766    0.045894836      61.592449    0.033119373      125.36169    0.065496246
            3.4      14.020827    0.020412654      9.8883414    0.014578847      20.475105    0.029474799
            3.6      2.9636231   0.0096767701      2.0757243   0.0068971256      4.3633002    0.014019826
            3.8     0.69154173   0.0056200986      0.4820051    0.004046678      1.0241208   0.0080595332
              4     0.16384187   0.0037491783     0.11360737   0.0026948946     0.24408912   0.0053849509
            4.2    0.041890236   0.0011047099    0.028996835  0.00077642701    0.062557911   0.0016282738
            4.4    0.011025479  0.00057109306   0.0076338359  0.00040146387    0.016463193  0.00084134088
            4.6   0.0022076823  0.00033930808   0.0015020185  0.00023913193   0.0033590205  0.00049835183
            4.8  0.00069890731  0.00014236766  0.00048368157  0.00010082608   0.0010443132  0.00020751376
              5  0.00069890731  0.00014236766  0.00048368157  0.00010082608   0.0010443132  0.00020751376
