#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.1284902   0.0093950197      1.9284549   0.0085396839      2.3985088    0.011013283
            0.2      5.9980871    0.015344733      5.4282967    0.014071809      6.7727634     0.01765059
            0.4       9.060503    0.018751099      8.1754351    0.017146806      10.264287    0.021299879
            0.6      11.388882    0.020848703      10.220059    0.019015842      12.999061    0.023839207
            0.8      13.099001    0.022655802      11.681114    0.020657542      15.068965    0.026375329
              1      14.435563    0.023596953      12.775796    0.021571033      16.748719    0.027483723
            1.2       15.60568    0.026513193      13.706442    0.024423892      18.246751    0.029553345
            1.4       16.74347    0.029274301      14.565509    0.027306325      19.767173     0.03277686
            1.6      18.048458    0.027120965      15.544558    0.023853656      21.514088    0.034500157
            1.8      19.533857    0.027221767       16.63645    0.024632201      23.525123    0.033575844
              2      21.568903    0.029114058      18.159344    0.026185437      26.227379     0.03745889
            2.2      24.134722     0.03092398      20.059484    0.027093626      29.676981    0.041935845
            2.4      27.393473    0.032673237      22.465899    0.028240332      34.070302    0.049377229
            2.6       31.51144    0.033643364      25.563154    0.031882059      39.577103    0.048771979
            2.8      36.038743    0.037492195      29.021279    0.035436876      45.686811    0.047473635
              3      35.710326    0.048020699      28.507903    0.047377413      46.041033    0.052712044
            3.2      16.197235    0.034652615       12.74918    0.033177027      21.140185    0.036899647
            3.4      8.4202496    0.021517877      6.5276476    0.020361181      11.154544    0.025242784
            3.6       4.820263    0.017300363      3.6712363    0.016303293      6.5123649    0.019441531
            3.8      2.9031905    0.013300145      2.1607926    0.012833928       4.023537     0.01686524
              4      1.7768665    0.011217978       1.296608    0.010014548      2.5186209    0.013570782
            4.2        1.09424    0.010220032     0.78092682   0.0083926081      1.5920984    0.013302514
            4.4     0.68744319   0.0077172692     0.47982059   0.0090010088      1.0224488   0.0093488773
            4.6     0.42315875   0.0079860243     0.26125714    0.013551835     0.65631829   0.0087279803
            4.8     0.26271279    0.008724963     0.14783266    0.013442588     0.42378542   0.0084183334
              5     0.26271279    0.008724963     0.14783266    0.013442588     0.42378542   0.0084183334
