#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.25974809   0.0040635306     0.18391168   0.0037961246     0.35902778   0.0046652189
            0.2     0.69175435   0.0070756273     0.46044596   0.0059873276      1.0077288   0.0093097289
            0.4      1.0925763   0.0085679443     0.68892032   0.0079826106      1.6537913    0.011669368
            0.6      1.5010139   0.0093518555     0.92878098    0.011508636      2.2788415    0.012875459
            0.8      1.9077063    0.010374028      1.1267323    0.013791067      2.9384284    0.015019133
              1      2.3999247    0.011793605      1.4220833    0.016119548      3.6886672    0.015983462
            1.2      3.0831246    0.013762491         1.8998    0.017234263      4.6982836    0.023588164
            1.4      4.0434621    0.016428025      2.6281495    0.021036025      6.0439526    0.028505456
            1.6      5.3946032    0.022090752      3.6797298    0.022380684      7.8331214    0.026111092
            1.8      7.5203703    0.020151119        5.39588     0.02001847       10.50979    0.027540654
              2      10.860756    0.022188796      8.1766933    0.021627629      14.603491     0.02910576
            2.2      16.329826    0.029774974       12.89072    0.029146033      21.088057    0.035196543
            2.4       25.34104    0.034439118      20.871923    0.032493735      31.515934    0.044399506
            2.6      40.207269     0.03898273      34.428898    0.037226131      48.252178    0.048846154
            2.8      63.122711    0.047851808      55.921098    0.045822664      73.273546    0.055924804
              3      80.141098    0.049219472      72.332506     0.04577555      91.165573    0.056421068
            3.2       34.95653    0.036243698      29.970855    0.032613425      41.699549    0.042858281
            3.4      17.352589     0.02935095      14.088036    0.026104066      21.750187    0.033515399
            3.6      9.6802528    0.022570958      7.4611373    0.019262506      12.675798    0.027563134
            3.8      5.6354068    0.021755118      4.0769301    0.018461095      7.7674111    0.026019286
              4      3.3463225    0.016275932      2.2363252    0.013170237      4.8827043    0.020811157
            4.2      2.0160207    0.013842325      1.2218659    0.010908638      3.1256356     0.01814015
            4.4      1.1900243    0.015788482     0.61368035    0.012389717       2.010102    0.020433262
            4.6     0.70063221    0.011218508     0.28415415    0.009719186      1.3036943    0.013714024
            4.8      0.3975797   0.0095533292    0.095668582   0.0075678635     0.84222383    0.011875619
              5      0.3975797   0.0095533292    0.095668582   0.0075678635     0.84222383    0.011875619
