#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.32282364    0.008822888    0.088240733   0.0079618545     0.65587563   0.0098007165
           -3.8     0.47058712   0.0093038651     0.18019414   0.0080572574     0.87535367    0.010818346
           -3.6     0.64676476   0.0084991563     0.29165832   0.0065944059      1.1391267    0.011405322
           -3.4     0.89621139    0.014266799     0.45412078    0.012668301      1.5093424    0.016257306
           -3.2      1.2312222    0.012160619     0.69262753    0.010334386      1.9745824    0.014563937
             -3      1.6644967    0.012242805       1.012833    0.012871369      2.5500348    0.022559657
           -2.8      2.1981713    0.012836824      1.4280998    0.011096324      3.2424798    0.015222752
           -2.6      2.9080681    0.014851094      1.9841223    0.013395746       4.157619    0.016995655
           -2.4       3.791446    0.014431049      2.7034423    0.012787213      5.2547696    0.017004382
           -2.2      4.8855204    0.016034654      3.6090152    0.014179514      6.6045325    0.018903711
             -2      6.2726912    0.017448747      4.7773731    0.015229556      8.2819224    0.021716749
           -1.8      7.8782841    0.019010631      6.1879916    0.017288192      10.153657    0.022457066
           -1.6        9.75504    0.021051805      7.8546391    0.018039268      12.324392    0.028926452
           -1.4      11.841032    0.022243139      9.7556575    0.020872292      14.682718    0.029791438
           -1.2       14.08515    0.024992794      11.867027    0.024044076      17.127181    0.027770802
             -1      16.413421    0.024858725       14.11116    0.022939497      19.606809     0.03001581
           -0.8      18.632896    0.026058357      16.291522    0.024303491      21.943114    0.032363553
           -0.6      20.616898    0.031472681       18.28111    0.029837038      23.979187    0.038315955
           -0.4      22.002676    0.028757866      19.708112    0.026454606      25.366409    0.039232953
           -0.2      22.817855    0.028798399       20.55184    0.027214912      26.161699    0.035955047
              0      22.776416    0.029877972      20.502901    0.030019092       26.15967    0.037099178
            0.2       22.08243    0.027727772      19.800832    0.026170905      25.417346    0.033079969
            0.4      20.620242    0.027121958      18.286407    0.025755763      23.984012    0.033878338
            0.6      18.655356    0.025793405      16.315064    0.024171427      21.955639    0.031493088
            0.8      16.411489    0.025088353      14.107869    0.023674831       19.61389    0.030221298
              1      14.121736    0.024188389      11.892834    0.022522691      17.186798    0.029763453
            1.2      11.804338    0.021914124      9.7284662    0.020143513      14.623956    0.027865774
            1.4      9.7080875    0.022741229       7.810318    0.020737399      12.273368    0.025704801
            1.6       7.863165    0.018539762      6.1721301     0.01730162      10.140529    0.023422122
            1.8       6.223707     0.01865569      4.7442707    0.017472663      8.2206193    0.021270532
              2      4.9007456    0.016297014      3.6130325    0.015190294      6.6388237    0.019919055
            2.2      3.7681417     0.01962929      2.6750403    0.019181649      5.2516142    0.018503048
            2.4      2.9120025    0.014279757      1.9845134    0.013220335      4.1690094    0.015955375
            2.6      2.2247321    0.012239624      1.4455909    0.010740233      3.2806482    0.014640681
            2.8      1.6629543    0.010580975      1.0249061   0.0086836686      2.5278542    0.013501308
              3      1.2373419    0.009862899     0.71019254   0.0080042296      1.9519545    0.012420043
            3.2     0.87820649    0.012899533     0.44015349      0.0109331      1.4870862    0.014449959
            3.4     0.66525053     0.01085371     0.30388987   0.0081676666      1.1648263    0.014489263
            3.6     0.48227805   0.0077883193     0.18824104   0.0058653493     0.89083111    0.010645638
            3.8     0.32276138   0.0065203717    0.087046556   0.0052416335     0.65640098   0.0085458167
              4     0.32276138   0.0065203717    0.087046556   0.0052416335     0.65640098   0.0085458167
