#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.25718383   0.0059042761      0.1794994   0.0043082705     0.37962916   0.0083372015
           -3.8     0.36263759   0.0082590405     0.25298636   0.0061114157     0.53549555    0.011483694
           -3.6     0.51560504   0.0062787348     0.36039315   0.0045893249     0.76000965   0.0088617108
           -3.4     0.71939043   0.0082435091     0.50349512   0.0060283631      1.0588128    0.011616998
           -3.2      1.0009278   0.0087918495     0.70224984   0.0063932314      1.4694979    0.012456169
             -3      1.3698353     0.01508997     0.96197179    0.011139249      2.0087417    0.021048745
           -2.8      1.8498359    0.011644916      1.3027036    0.008521888      2.7046145    0.016378825
           -2.6      2.4931941    0.011894026      1.7579886   0.0085728738      3.6401552    0.017011954
           -2.4      3.3190418    0.012850835      2.3438939   0.0093316005      4.8374818    0.018238619
           -2.2      4.3380435    0.015068495      3.0685729    0.010962194      6.3111301    0.021327137
             -2      5.6398696    0.016182855      3.9952047    0.011716729      8.1916735    0.023015868
           -1.8      7.2357246    0.021435113      5.1331707    0.015748512      10.492652    0.030007727
           -1.6      9.0854461    0.021482292      6.4532134     0.01599988      13.156425    0.029749488
           -1.4      11.305632    0.021582145      8.0411559    0.015610738      16.346635    0.030708626
           -1.2      13.801488    0.023880571      9.8268803     0.01735219      19.931357    0.033834405
             -1      16.426141    0.025403347        11.7052    0.018345245       23.69996    0.036199371
           -0.8      19.120537    0.028749362      13.634198    0.020996639      27.567169    0.040529889
           -0.6      21.528968    0.029628767      15.358032    0.021478169      31.024771     0.04205842
           -0.4       23.44168    0.033939444      16.726141    0.024735428      33.772634    0.047887798
           -0.2       24.53666    0.030872244      17.509919    0.022317852      35.344491    0.043944322
              0      24.563689    0.030980893      17.530223    0.022414004      35.381389     0.04406378
            0.2       23.46283    0.031296557      16.741813    0.022704665      33.801676     0.04439638
            0.4      21.579392    0.029334101      15.394295     0.02120301      31.096675    0.041758887
            0.6       19.09113    0.028387493      13.613719    0.020614939      27.523343    0.040215095
            0.8      16.451244    0.029038085      11.722129    0.021092181       23.73786    0.041116546
              1      13.870246    0.023885172      9.8765502    0.017270955      20.028715    0.033992327
            1.2      11.384973    0.021920429      8.0983898     0.01585086      16.459402    0.031200528
            1.4      9.2240008    0.019658641      6.5534741    0.014218367      13.352954    0.027980682
            1.6      7.3202876    0.017612977      5.1937859    0.012713401      10.613472    0.025123098
            1.8      5.7727197    0.016209968      4.0908868    0.011728836      8.3810353    0.023070083
              2      4.4503767    0.015223814      3.1477743    0.011063165      6.4748341    0.021569865
            2.2      3.4431291    0.014507783      2.4312995    0.010601257      5.0187936     0.02044113
            2.4      2.6155957    0.012912017      1.8435651   0.0093857584      3.8203593    0.018290177
            2.6      1.9830732     0.01045339       1.396152   0.0075534868       2.900225    0.014912151
            2.8      1.4813733   0.0093617873      1.0407853    0.006737728      2.1715059    0.013417726
              3      1.0740749    0.010279978     0.75268941   0.0075585068      1.5787834    0.014390475
            3.2     0.80181956   0.0072585776     0.56108835   0.0052678386      1.1805666    0.010315498
            3.4     0.57946086   0.0063239701     0.40472112   0.0045808419     0.85494868   0.0090098627
            3.6     0.42595457   0.0092335304     0.29750186   0.0067002725     0.62854836    0.013079808
            3.8     0.29184723   0.0059611843      0.2024277   0.0043982103     0.43369885   0.0083242126
              4     0.29184723   0.0059611843      0.2024277   0.0043982103     0.43369885   0.0083242126
