#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.186451    0.026378208       11.50949    0.019031866      23.413074    0.037647431
            0.2      15.895202    0.026089509      11.305359    0.018846197      22.985165    0.037189137
            0.4      15.655086     0.02636858      11.137848    0.019025749      22.630422    0.037623713
            0.6      15.417755    0.026902546      10.971392    0.019538709      22.281754    0.038126944
            0.8      15.429245    0.026112142       10.98371    0.018908889      22.289119    0.037116296
              1      15.626416    0.026260661      11.127294      0.0190108      22.566507    0.037325457
            1.2      16.141285     0.02607039       11.49825    0.018803154      23.300477    0.037191966
            1.4      16.970136    0.026282139      12.092275    0.019002273      24.488899    0.037407031
            1.6      18.192305    0.025937839      12.967253     0.01871495      26.243408    0.036995482
            1.8      19.897441    0.027335917      14.185591    0.019744396      28.696766    0.038950653
              2       22.16321    0.030634919      15.803235    0.022291037      31.959684    0.043320411
            2.2      25.196277    0.031898813      17.965081     0.02317369      36.335165    0.045188282
            2.4      28.925672    0.035798044      20.616322    0.025977108      41.729877    0.050751356
            2.6      33.453525    0.034788112      23.819074    0.025129219      48.313562    0.049584636
            2.8      37.407607    0.040284514       26.56734    0.029199819      54.164751    0.057211209
              3      26.854634    0.050430755      18.986991    0.037457493      39.060835    0.069827108
            3.2      26.854634    0.050430755      18.986991    0.037457493      39.060835    0.069827108
