#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.39859906   0.0039165349     0.28037845   0.0027990083     0.58349368   0.0056485912
           -3.8     0.58785864   0.0048675717     0.41342158   0.0034798459     0.86065867   0.0070168112
           -3.6     0.87832263   0.0066056145      0.6183383   0.0047459078      1.2844608   0.0094764401
           -3.4      1.2728273   0.0076227031     0.89665256    0.005478576      1.8600365     0.01092649
           -3.2      1.8003052   0.0089667887      1.2699459   0.0064241365      2.6267811    0.012893073
             -3      2.5243974    0.010522445       1.782949   0.0075553023      3.6782158    0.015094117
           -2.8      3.4529605    0.011951957      2.4425222   0.0085810333      5.0225827    0.017147873
           -2.6      4.6019732    0.014634845      3.2599456    0.010544271      6.6831231    0.020912904
           -2.4      5.9757967    0.017640381      4.2395219    0.012776146       8.663827    0.025059882
           -2.2      7.5154583    0.018853869      5.3383115    0.013658879      10.881359    0.026778398
             -2      9.1509334    0.021970373      6.5051048    0.016059545      13.237824     0.03091838
           -1.8      10.795539    0.024985184      7.6823366     0.01831622      15.598934    0.035051423
           -1.6      12.276952    0.023775943      8.7421612    0.017278376      17.727024    0.033667618
           -1.4      13.665345    0.025736969      9.7344111     0.01885072       19.72413    0.036185024
           -1.2      14.679882    0.028968348      10.460727    0.021202265      21.181021    0.040695478
             -1      15.464725    0.025514201      11.021735    0.018487328      22.310093    0.036236899
           -0.8      15.887661    0.027795124        11.3238      0.0202757      22.919424    0.039206732
           -0.6      16.140734    0.026039225       11.50322    0.018872193      23.286777    0.036978482
           -0.4      16.192444    0.026141381      11.539785    0.018944191      23.362507    0.037127891
           -0.2      16.215135    0.027047951      11.554466    0.019659718      23.398462    0.038302361
              0      16.154103    0.028418604      11.511775    0.021018705       23.30867     0.03959029
            0.2      16.175259    0.026310154      11.528719    0.019067145        23.3351    0.037371073
            0.4      16.099994    0.026723031      11.475702    0.019484529      23.224748    0.037728173
            0.6      15.803177    0.025966927      11.262674    0.018838735      22.799251    0.036837653
            0.8      15.362384    0.025462354      10.949748    0.018434756      22.160331    0.036193087
              1      14.546678    0.025235747      10.366356    0.018296898      20.987456    0.035818957
            1.2      13.560407    0.023569017      9.6622423    0.017039574      19.567204    0.033551597
            1.4      12.149074    0.025455748      8.6496892    0.018494708      17.545455    0.036061599
            1.6      10.674292    0.021555741      7.5964536     0.01559451      15.423152    0.030669655
            1.8      9.0690075    0.019711284      6.4491814     0.01424644      13.114123     0.02807172
              2      7.4533143    0.017598799      5.2937382    0.012675945      10.792299    0.025151721
            2.2       5.881004    0.022443711      4.1715922    0.016343998       8.527804    0.031689105
            2.4      4.5494957      0.0154696      3.2224834    0.011168622      6.6075288    0.022058363
            2.6      3.4267768    0.012642604      2.4243195   0.0090901684      4.9836917    0.018105894
            2.8      2.4886445    0.010698332      1.7574899   0.0077008716      3.6265011    0.015306445
              3      1.7850058   0.0088836243      1.2590098   0.0063770038      2.6047507    0.012748865
            3.2      1.2509568   0.0070879396     0.88140622   0.0050738674      1.8276886    0.010203228
            3.4     0.86998377   0.0061442155     0.61240096   0.0044071729      1.2724047   0.0088281089
            3.6     0.59068136   0.0048734786     0.41555793   0.0034880878     0.86444681   0.0070170458
            3.8     0.40423659   0.0040765735     0.28422381   0.0029097375     0.59197539   0.0058862309
              4     0.40423659   0.0040765735     0.28422381   0.0029097375     0.59197539   0.0058862309
