#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.05226094   0.0093442313     0.02819831   0.0069864511    0.094270512    0.012817079
           -3.8     0.12834684   0.0097218339    0.079260483   0.0072828202     0.21084179    0.013314886
           -3.6     0.30310444      0.0119756     0.20021094   0.0090014957     0.47081136    0.016346608
           -3.4     0.57110367    0.014161488     0.38650991    0.010649175     0.86769218    0.019312434
           -3.2     0.99784332   0.0098881347     0.68683401   0.0072183885      1.4920033    0.013955291
             -3      1.6265518    0.011699438       1.129328   0.0085553964      2.4111759    0.016488683
           -2.8      2.5229032    0.013041473      1.7647623   0.0094161708      3.7121037    0.018620345
           -2.6      3.6695418    0.015606468      2.5799388    0.011366918      5.3706343    0.022059172
           -2.4      5.1423454     0.01742762      3.6307204    0.012687254      7.4931294    0.024643979
           -2.2      6.8034627    0.019185009      4.8163584     0.01412769      9.8855089    0.026854787
             -2      8.6720158     0.01983928      6.1552636    0.014359887      12.565699    0.028215081
           -1.8      10.617681     0.02084989      7.5525151    0.015052575       15.34975    0.029728521
           -1.6      12.493151    0.024116433       8.896948    0.017757035      18.038531      0.0338026
           -1.4      14.126579    0.027623333       10.07196    0.020182973      20.371916    0.038877262
           -1.2      15.482075    0.025627525      11.046359    0.018654884      22.309747    0.036223492
             -1      16.531033    0.024716562      11.801112    0.017822231      23.808023    0.035277098
           -0.8      17.096784    0.025229205      12.207841    0.018224988      24.616899    0.035941162
           -0.6      17.540474    0.026553542      12.529547    0.019324661      25.245805    0.037559555
           -0.4      17.633956    0.025261104      12.594857    0.018220606      25.383779    0.036040324
           -0.2      17.649693    0.024982216      12.606373    0.017991649      25.406138    0.035699326
              0      17.653828    0.025570452      12.610154    0.018456835      25.409945    0.036454924
            0.2       17.61439    0.025619828      12.581006    0.018497075        25.3551    0.036516697
            0.4       17.39912    0.025765891      12.426201    0.018637703      25.047122    0.036655142
            0.6       17.08457    0.025085324      12.199556    0.018121969      24.598295    0.035742354
            0.8      16.414722    0.025105842      11.718066    0.018162344       23.64037    0.035714645
              1      15.449852    0.023944452      11.025034     0.01727878      22.259532    0.034148796
            1.2      14.096553    0.023302194      10.052434    0.016844652      20.324196    0.033179327
            1.4      12.494465    0.022426919      8.9004432    0.016195618      18.034848    0.031965012
            1.6       10.58564    0.020718564      7.5288789    0.014942531        15.3051    0.029572301
            1.8      8.6989351    0.019841977      6.1750937    0.014378211      12.603049    0.028191495
              2      6.8653992    0.017666678      4.8619664     0.01274908      9.9716198    0.025215303
            2.2      5.1705326    0.017422209      3.6491954    0.012669647      7.5372359    0.024663927
            2.4      3.7710005    0.014006986      2.6518846    0.010100319      5.5179123     0.02000964
            2.6      2.5947324    0.013433641      1.8147917    0.009708798       3.818089    0.019149858
            2.8      1.7042212    0.014150995        1.18331    0.010390692      2.5263457    0.019819467
              3       1.060124    0.017044398     0.72889754    0.012560105      1.5867893    0.023760683
            3.2     0.65262986   0.0086429396     0.44380822   0.0063252338     0.98737255    0.012163379
            3.4     0.36879924   0.0080568496     0.24600594   0.0059191114     0.56812147     0.01128491
            3.6     0.20840184    0.007910947     0.13579319   0.0058678592     0.32781066    0.010957406
            3.8     0.10964565   0.0059667558    0.068302962   0.0044267011     0.17909234   0.0082707548
              4     0.10964565   0.0059667558    0.068302962   0.0044267011     0.17909234   0.0082707548
