#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.1505345    0.010723198      3.1505345    0.010723198      3.1505345    0.010723198
            0.2      8.8230967    0.017802087      8.8230967    0.017802087      8.8230967    0.017802087
            0.4      13.065531    0.021548604      13.065531    0.021548604      13.065531    0.021548604
            0.6      15.877217    0.023690289      15.877217    0.023690289      15.877217    0.023690289
            0.8       17.50392    0.024859774       17.50392    0.024859774       17.50392    0.024859774
              1      18.585208    0.025624414      18.585208    0.025624414      18.585208    0.025624414
            1.2      19.412997    0.026197736      19.412997    0.026197736      19.412997    0.026197736
            1.4       20.20574    0.026752613       20.20574    0.026752613       20.20574    0.026752613
            1.6      21.278108    0.027473385      21.278108    0.027473385      21.278108    0.027473385
            1.8      22.845069    0.028474249      22.845069    0.028474249      22.845069    0.028474249
              2      24.894592    0.029753277      24.894592    0.029753277      24.894592    0.029753277
            2.2      27.754451    0.031394565      27.754451    0.031394565      27.754451    0.031394565
            2.4      31.520345    0.033426614      31.520345    0.033426614      31.520345    0.033426614
            2.6      36.330295    0.035811995      36.330295    0.035811995      36.330295    0.035811995
            2.8      42.100624    0.038432155      42.100624    0.038432155      42.100624    0.038432155
              3      42.078622    0.038579574      42.078622    0.038579574      42.078622    0.038579574
            3.2      13.492996    0.022529482      13.492996    0.022529482      13.492996    0.022529482
            3.4      4.8940633    0.013728277      4.8940633    0.013728277      4.8940633    0.013728277
            3.6      2.0274637   0.0090022764      2.0274637   0.0090022764      2.0274637   0.0090022764
            3.8      0.9022455   0.0061068564      0.9022455   0.0061068564      0.9022455   0.0061068564
              4      0.3995729   0.0041774119      0.3995729   0.0041774119      0.3995729   0.0041774119
            4.2     0.18124373   0.0028592534     0.18124373   0.0028592534     0.18124373   0.0028592534
            4.4    0.079089005   0.0019258367    0.079089005   0.0019258367    0.079089005   0.0019258367
            4.6    0.036563665   0.0013046488    0.036563665   0.0013046488    0.036563665   0.0013046488
            4.8    0.016919528  0.00092000416    0.016919528  0.00092000416    0.016919528  0.00092000416
              5    0.016919528  0.00092000416    0.016919528  0.00092000416    0.016919528  0.00092000416
