#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.48655243   0.0045819436     0.48655243   0.0045819436     0.48655243   0.0045819436
           -3.8     0.71375446   0.0055550676     0.71375446   0.0055550676     0.71375446   0.0055550676
           -3.6      1.0524456   0.0067047252      1.0524456   0.0067047252      1.0524456   0.0067047252
           -3.4      1.5076246   0.0079601189      1.5076246   0.0079601189      1.5076246   0.0079601189
           -3.2      2.1145498   0.0093838172      2.1145498   0.0093838172      2.1145498   0.0093838172
             -3      2.9424855    0.010941099      2.9424855    0.010941099      2.9424855    0.010941099
           -2.8      3.9778219    0.012635034      3.9778219    0.012635034      3.9778219    0.012635034
           -2.6      5.2780302    0.014427582      5.2780302    0.014427582      5.2780302    0.014427582
           -2.4      6.8001144     0.01624417      6.8001144     0.01624417      6.8001144     0.01624417
           -2.2       8.537401    0.018049542       8.537401    0.018049542       8.537401    0.018049542
             -2      10.392516    0.019748305      10.392516    0.019748305      10.392516    0.019748305
           -1.8      12.215145    0.021282025      12.215145    0.021282025      12.215145    0.021282025
           -1.6      13.879242    0.022540006      13.879242    0.022540006      13.879242    0.022540006
           -1.4      15.469383    0.023678676      15.469383    0.023678676      15.469383    0.023678676
           -1.2      16.619303    0.024438236      16.619303    0.024438236      16.619303    0.024438236
             -1      17.513655     0.02500067      17.513655     0.02500067      17.513655     0.02500067
           -0.8      18.024011    0.025317754      18.024011    0.025317754      18.024011    0.025317754
           -0.6      18.362574    0.025500814      18.362574    0.025500814      18.362574    0.025500814
           -0.4      18.415019    0.025522272      18.415019    0.025522272      18.415019    0.025522272
           -0.2      18.466278    0.025549525      18.466278    0.025549525      18.466278    0.025549525
              0      18.425374    0.025518821      18.425374    0.025518821      18.425374    0.025518821
            0.2      18.434746    0.025542352      18.434746    0.025542352      18.434746    0.025542352
            0.4      18.346793    0.025508035      18.346793    0.025508035      18.346793    0.025508035
            0.6      18.031964    0.025317029      18.031964    0.025317029      18.031964    0.025317029
            0.8      17.511251    0.025010736      17.511251    0.025010736      17.511251    0.025010736
              1      16.582166    0.024426234      16.582166    0.024426234      16.582166    0.024426234
            1.2      15.447946    0.023660759      15.447946    0.023660759      15.447946    0.023660759
            1.4      13.904572    0.022568291      13.904572    0.022568291      13.904572    0.022568291
            1.6      12.176881    0.021255568      12.176881    0.021255568      12.176881    0.021255568
            1.8      10.367796    0.019757116      10.367796    0.019757116      10.367796    0.019757116
              2      8.5514528    0.018073133      8.5514528    0.018073133      8.5514528    0.018073133
            2.2      6.7941205    0.016240195      6.7941205    0.016240195      6.7941205    0.016240195
            2.4       5.284025    0.014436561       5.284025    0.014436561       5.284025    0.014436561
            2.6      3.9924652    0.012646179      3.9924652    0.012646179      3.9924652    0.012646179
            2.8      2.9342503    0.010941764      2.9342503    0.010941764      2.9342503    0.010941764
              3       2.115749   0.0093534906       2.115749   0.0093534906       2.115749   0.0093534906
            3.2      1.4911258   0.0079194931      1.4911258   0.0079194931      1.4911258   0.0079194931
            3.4      1.0444845   0.0066693099      1.0444845   0.0066693099      1.0444845   0.0066693099
            3.6      0.7193916   0.0055475398      0.7193916   0.0055475398      0.7193916   0.0055475398
            3.8      0.4969053   0.0046415493      0.4969053   0.0046415493      0.4969053   0.0046415493
              4      0.4969053   0.0046415493      0.4969053   0.0046415493      0.4969053   0.0046415493
