#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.36480241   0.0044100805     0.36480241   0.0044100805     0.36480241   0.0044100805
           -3.8     0.55090515   0.0053191838     0.55090515   0.0053191838     0.55090515   0.0053191838
           -3.6     0.81105088   0.0062981466     0.81105088   0.0062981466     0.81105088   0.0062981466
           -3.4      1.2164255   0.0075582715      1.2164255   0.0075582715      1.2164255   0.0075582715
           -3.2      1.7547612    0.008917424      1.7547612    0.008917424      1.7547612    0.008917424
             -3      2.5364182    0.010479393      2.5364182    0.010479393      2.5364182    0.010479393
           -2.8      3.5523226    0.012200693      3.5523226    0.012200693      3.5523226    0.012200693
           -2.6      4.8211631    0.013991269      4.8211631    0.013991269      4.8211631    0.013991269
           -2.4      6.4021839    0.015875114      6.4021839    0.015875114      6.4021839    0.015875114
           -2.2      8.1978364    0.017762831      8.1978364    0.017762831      8.1978364    0.017762831
             -2      10.176863    0.019580603      10.176863    0.019580603      10.176863    0.019580603
           -1.8       12.17416      0.0212096       12.17416      0.0212096       12.17416      0.0212096
           -1.6      14.077248    0.022643474      14.077248    0.022643474      14.077248    0.022643474
           -1.4      15.700116    0.023756638      15.700116    0.023756638      15.700116    0.023756638
           -1.2      17.029377    0.024632213      17.029377    0.024632213      17.029377    0.024632213
             -1      18.001502     0.02522732      18.001502     0.02522732      18.001502     0.02522732
           -0.8      18.603451    0.025574904      18.603451    0.025574904      18.603451    0.025574904
           -0.6      18.954463    0.025769802      18.954463    0.025769802      18.954463    0.025769802
           -0.4      19.028997    0.025794277      19.028997    0.025794277      19.028997    0.025794277
           -0.2      19.085965    0.025820134      19.085965    0.025820134      19.085965    0.025820134
              0      19.091462      0.0258211      19.091462      0.0258211      19.091462      0.0258211
            0.2      19.037066    0.025799554      19.037066    0.025799554      19.037066    0.025799554
            0.4      18.909291    0.025742844      18.909291    0.025742844      18.909291    0.025742844
            0.6      18.608185    0.025583976      18.608185    0.025583976      18.608185    0.025583976
            0.8      18.014602    0.025228734      18.014602    0.025228734      18.014602    0.025228734
              1      17.038614     0.02464688      17.038614     0.02464688      17.038614     0.02464688
            1.2      15.692367    0.023755992      15.692367    0.023755992      15.692367    0.023755992
            1.4      14.041563    0.022615318      14.041563    0.022615318      14.041563    0.022615318
            1.6      12.138105     0.02119183      12.138105     0.02119183      12.138105     0.02119183
            1.8      10.160182    0.019564104      10.160182    0.019564104      10.160182    0.019564104
              2      8.2329732    0.017803376      8.2329732    0.017803376      8.2329732    0.017803376
            2.2      6.4075749    0.015909413      6.4075749    0.015909413      6.4075749    0.015909413
            2.4      4.8207643     0.01398411      4.8207643     0.01398411      4.8207643     0.01398411
            2.6      3.5253648    0.012170371      3.5253648    0.012170371      3.5253648    0.012170371
            2.8      2.5218648    0.010474843      2.5218648    0.010474843      2.5218648    0.010474843
              3      1.7635669   0.0089303095      1.7635669   0.0089303095      1.7635669   0.0089303095
            3.2      1.2113429   0.0075328327      1.2113429   0.0075328327      1.2113429   0.0075328327
            3.4     0.81802787   0.0063222878     0.81802787   0.0063222878     0.81802787   0.0063222878
            3.6     0.54660413   0.0052876286     0.54660413   0.0052876286     0.54660413   0.0052876286
            3.8     0.36693631   0.0044101409     0.36693631   0.0044101409     0.36693631   0.0044101409
              4     0.36693631   0.0044101409     0.36693631   0.0044101409     0.36693631   0.0044101409
