#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.0965516   0.0087525951      1.4938688   0.0062439322      3.6819753    0.017634051
            0.2      5.9784476    0.014686283      4.2599165    0.010478291      10.391165    0.027871552
            0.4      9.1584615     0.01808021      6.5259192    0.012902078      15.775316    0.034655011
            0.6      11.703386    0.020389922      8.3408518    0.014555075      19.944116    0.038514639
            0.8      13.693497    0.022021847      9.7592823     0.01572383      23.061655     0.04317576
              1      15.324067    0.023287671      10.919841    0.016629162      25.576843    0.045746959
            1.2      16.838983    0.024389829      11.999435    0.017418506      27.781805     0.05040009
            1.4      18.280417    0.025418216       13.02439    0.018155324      29.965521    0.054651433
            1.6      19.907498    0.026531618      14.181205    0.018953318      32.447256    0.054463739
            1.8      21.776482    0.027748422      15.509267    0.019825323      35.194002    0.052323729
              2      24.201313    0.029240152      17.232268    0.020894491      38.874804    0.056094702
            2.2      27.207382    0.030990487       19.36656    0.022149428      43.421112     0.06007733
            2.4      31.009634    0.033047876      22.064889     0.02362414      49.014183    0.063919756
            2.6      35.942509    0.035502268      25.560695    0.025381469      55.777583    0.065452021
            2.8      41.774073    0.038137397      29.692558    0.027267726      62.683075    0.068648241
              3       43.19805    0.038887775      30.674411    0.027796261      62.562301    0.055995972
            3.2      20.322517     0.02742109      14.381185    0.019526196      29.551774    0.039661028
            3.4      10.941881    0.020378925      7.7180893    0.014462708      15.971432    0.029594836
            3.6       6.551646    0.015930836      4.6083967    0.011272764      9.5947038    0.023217801
            3.8      4.0942412    0.012739065      2.8724378    0.008991363      6.0140328     0.01862527
              4      2.6045084    0.010263553      1.8238433   0.0072324449      3.8342401    0.015035959
            4.2      1.6805345   0.0083815454      1.1743798   0.0058923954      2.4800431    0.012315537
            4.4      1.0997725   0.0068313982     0.76767085   0.0047997234       1.625167    0.010045712
            4.6     0.72288665   0.0056424953     0.50386086   0.0039570216      1.0701141   0.0083171586
            4.8     0.47790139   0.0046810264      0.3325227   0.0032778383     0.70885423   0.0069137648
              5     0.47790139   0.0046810264      0.3325227   0.0032778383     0.70885423   0.0069137648
