# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      235.52416     0.06415011      167.82061    0.046122694      377.08211     0.15465783
            3.2      123.01029    0.057837764      87.270237    0.041250789      186.93973      0.1296426
            3.4      21.793167    0.028008558      15.338004    0.019774382      31.899094    0.040910185
            3.6       5.191871    0.013928661      3.6256359   0.0097495934       7.669523    0.020553012
            3.8       1.388356   0.0072076645     0.96258414   0.0050068883      2.0684284    0.010732917
              4      0.3962229    0.003839285     0.27252735   0.0026468893     0.59585263   0.0057692824
            4.2      0.1148551   0.0020592763    0.078396724   0.0014091937     0.17427346    0.003121768
            4.4    0.034905337   0.0011290675    0.023710318  0.00076899758    0.053269288    0.001721571
            4.6    0.010695963  0.00062770249   0.0071575377  0.00042149454    0.016602322  0.00097274167
            4.8   0.0031018294  0.00034008996   0.0020744974  0.00022845007   0.0048188629  0.00052717072
              5   0.0031018294  0.00034008996   0.0020744974  0.00022845007   0.0048188629  0.00052717072
