#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.36480241   0.0044100805     0.25371451   0.0031291393      0.5405697   0.0064193304
           -3.8     0.55090515   0.0053191838     0.38384405   0.0037763987     0.81487159   0.0077368877
           -3.6     0.81105088   0.0062981466     0.56642492    0.004477907      1.2238613    0.012216163
           -3.4      1.2164255   0.0075582715     0.85118387   0.0053725072      1.8145828    0.015477649
           -3.2      1.7547612    0.008917424      1.2310107   0.0063424636       2.641229     0.01924582
             -3      2.5364182    0.010479393      1.7832431   0.0074539539      3.7146381    0.015190221
           -2.8      3.5523226    0.012200693      2.5027794   0.0086851882      5.3534783    0.028262539
           -2.6      4.8211631    0.013991269      3.4040241   0.0099665018      7.4259248    0.034331003
           -2.4      6.4021839    0.015875114      4.5291353    0.011314582       9.979615    0.033050802
           -2.2      8.1978364    0.017762831      5.8090196    0.012668508       12.83047    0.043552504
             -2      10.176863    0.019580603      7.2229411    0.013972265      16.067936     0.04245336
           -1.8       12.17416      0.0212096      8.6507255    0.015140156      19.233553     0.04034792
           -1.6      14.077248    0.022643474      10.011508    0.016168367      22.210617    0.046256861
           -1.4      15.700116    0.023756638      11.173215    0.016964618      24.798452    0.045169931
           -1.2      17.029377    0.024632213      12.124501    0.017591819      26.799973    0.045410323
             -1      18.001502     0.02522732       12.82093    0.018016744      28.274168     0.05401221
           -0.8      18.603451    0.025574904      13.250797    0.018261849       29.13783    0.053525986
           -0.6      18.954463    0.025769802      13.502434    0.018400737      29.628124    0.047396642
           -0.4      19.028997    0.025794277      13.555694    0.018415997      29.746666    0.049506655
           -0.2      19.085965    0.025820134      13.595791    0.018432465      29.813789    0.049468187
              0      19.091462      0.0258211       13.59943    0.018432773      29.807474    0.047464371
            0.2      19.037066    0.025799554      13.561494    0.018419823      29.655159    0.050955142
            0.4      18.909291    0.025742844      13.469968    0.018381389      29.526728    0.046462439
            0.6      18.608185    0.025583976      13.253934    0.018269149      29.083111    0.047600313
            0.8      18.014602    0.025228734      12.830437    0.018017692      28.198036    0.055798883
              1      17.038614     0.02464688      12.130393     0.01760254      26.689994    0.050471979
            1.2      15.692367    0.023755992      11.167766    0.016965339      24.663096    0.047325228
            1.4      14.041563    0.022615318      9.9862711    0.016148527      22.143449    0.043859266
            1.6      12.138105     0.02119183      8.6243335    0.015127523      19.211218    0.045152355
            1.8      10.160182    0.019564104      7.2096955    0.013958465      16.133052    0.041652934
              2      8.2329732    0.017803376       5.834274    0.012698068      13.066714    0.037488094
            2.2      6.4075749    0.015909413      4.5319552    0.011339807      10.159059    0.032386781
            2.4      4.8207643     0.01398411      3.4031537   0.0099611999      7.5861156    0.030043385
            2.6      3.5253648    0.012170371      2.4828897   0.0086618282      5.4673684    0.034440515
            2.8      2.5218648    0.010474843      1.7723138   0.0074514519      3.8705016    0.022956277
              3      1.7635669   0.0089303095      1.2366822   0.0063502191      2.7087085    0.020396966
            3.2      1.2113429   0.0075328327     0.84764806   0.0053566742      1.8653766    0.015736538
            3.4     0.81802787   0.0063222878     0.57135861   0.0044913813      1.2815485    0.012495894
            3.6     0.54660413   0.0052876286     0.38081548   0.0037537903     0.86864512    0.012207767
            3.8     0.36693631   0.0044101409     0.25514222   0.0031333152     0.55352415   0.0088917887
              4     0.36693631   0.0044101409     0.25514222   0.0031333152     0.55352415   0.0088917887
