# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4       0.373958   0.0084776979     0.21094693    0.010641671     0.53696887   0.0077247066
           -3.8     0.53667455   0.0095893596     0.31796199    0.012777095     0.75538734   0.0094403247
           -3.6     0.73633012    0.009643266     0.46913563    0.011687681      1.0035243    0.010285548
           -3.4     0.99041684    0.011404566     0.65197731    0.014185406      1.3288568    0.011377565
           -3.2      1.3838699    0.019706483     0.95785344    0.020746953      1.8098874    0.020771132
             -3      1.8090395    0.019361422       1.273842    0.025983766      2.3442366     0.01839674
           -2.8      2.4454697    0.016365461      1.7962868    0.021194246      3.0946526    0.016371616
           -2.6      3.2251078    0.017137384      2.4223239    0.023259595      4.0278924     0.01856914
           -2.4       4.267112    0.018717247      3.2923539    0.024153107      5.2418712    0.018976206
           -2.2      5.5033031    0.020004064      4.3156249    0.024762169       6.690981    0.022335199
             -2      7.0847212    0.024492175      5.6493717    0.030103681      8.5200712    0.025851787
           -1.8      8.9777049    0.025849774      7.2756317    0.030186928      10.679778    0.032481998
           -1.6      11.256532    0.025980223      9.2573441    0.029842503      13.255722    0.029161122
           -1.4      13.816737    0.037186154      11.419744    0.050728049       16.21373    0.034371394
           -1.2      16.832778    0.032783404      14.158349    0.038577295      19.507206    0.035846161
             -1      19.955178    0.034781539       16.87117    0.040024978      23.039184     0.04327088
           -0.8      23.123048    0.036571958        19.7279     0.04016649      26.518196    0.041996751
           -0.6      26.022645    0.043812879        22.2765    0.053158595       29.76879    0.048829386
           -0.4      28.200784    0.041666513      24.232224    0.046659741      32.169343    0.047631653
           -0.2      29.541143     0.04285424      25.471476    0.046728275      33.610808    0.054530292
              0      29.466948    0.041783786      25.402515    0.048198636      33.531381     0.04659356
            0.2      28.205794    0.044558855      24.269083    0.052386275      32.142504    0.048458929
            0.4      25.940151    0.041599354      22.199977    0.048342712      29.680327    0.045401991
            0.6      23.255498    0.038291407        19.8003    0.042534544      26.710695    0.044956468
            0.8      20.052167      0.0360076      16.920187    0.040209795      23.184146    0.041913063
              1      16.963937    0.033022543      14.227246    0.037301366      19.700626    0.043620567
            1.2      14.044619    0.032482892      11.671874    0.052920259      16.417361    0.040266838
            1.4      11.517718    0.029928064      9.5182877    0.033992483      13.517147    0.035083459
            1.6      9.1983563    0.025724611      7.5529403    0.030333774      10.843773    0.028572834
            1.8      7.2910086    0.021996743      5.9488687    0.025274494       8.633149    0.023996182
              2      5.7322163    0.023533364      4.6249635    0.031726466      6.8394682    0.021697434
            2.2      4.4886571    0.019798048        3.57311    0.024331056      5.4042034    0.026783738
            2.4       3.467984    0.016592041      2.7474376    0.019072431      4.1885314    0.017915025
            2.6      2.6763508    0.016893778      2.0820674    0.017633188      3.2706348    0.021034653
            2.8      2.0087148    0.014748107      1.5540357       0.017885      2.4633944    0.014756745
              3      1.5445898     0.01178192      1.1765327    0.014524353      1.9126467    0.012901921
            3.2      1.1500077     0.01056323     0.86933076    0.013142324      1.4306845    0.011049454
            3.4     0.83154428    0.012251496     0.60168942    0.014938945      1.0613986    0.012062429
            3.6      0.6277675   0.0096094098     0.44898633    0.011796952     0.80654878   0.0092783231
            3.8     0.46695411   0.0088550757     0.32632644    0.010615705     0.60758164   0.0093575789
              4     0.46695411   0.0088550757     0.32632644    0.010615705     0.60758164   0.0093575789
