#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.015943508   0.0035201304    0.010076658   0.0051752462    0.021810363   0.0023316072
           -3.8     0.03476291   0.0018216432    0.028061976   0.0021916919    0.041463753   0.0017544085
           -3.6    0.065233915   0.0023569723    0.053818134   0.0025334844    0.076649644   0.0024115534
           -3.4     0.10340219   0.0040877022    0.081723688    0.004866386     0.12508072   0.0038308521
           -3.2     0.16687361   0.0058542438     0.12350105   0.0074013561     0.21024639   0.0052411843
             -3     0.28705048   0.0063684728     0.21799023   0.0074690276     0.35611057   0.0062108505
           -2.8     0.47659279   0.0086261646     0.35472367    0.012540519     0.59846174    0.011747971
           -2.6     0.77048698    0.010779324     0.58631565    0.014095807     0.95465847   0.0098463433
           -2.4      1.2694561    0.012352709     0.98296263    0.014370684        1.55595    0.012387064
           -2.2      1.9836399      0.0148788      1.5503245    0.017019031      2.4169553    0.015716611
             -2      3.0332655    0.017465923      2.3576614    0.022400101      3.7088695    0.016792697
           -1.8      4.6386501    0.019949923      3.6273853    0.024886418      5.6499143    0.022235299
           -1.6      6.9287613     0.02754884      5.4802967    0.034680876      8.3772275     0.02910918
           -1.4      10.138383    0.033797027      8.1062822    0.048058391      12.170483    0.030577496
           -1.2      14.443136    0.034021905      11.750501    0.041117975      17.135772    0.034308718
             -1      20.047381    0.035543621      16.480347    0.041198357      23.614417    0.040444797
           -0.8       26.50581    0.040634713      22.035741    0.047315711      30.975879    0.047164764
           -0.6      33.352882    0.046963501      28.025243    0.053066079       38.68052    0.058395117
           -0.4      39.302637    0.052638899      33.367721    0.063395253      45.237553    0.056814846
           -0.2      43.010145    0.052699742      36.729966    0.060722241      49.290324    0.061628875
              0      43.149904    0.051644466      36.926632    0.057759034      49.373175    0.059883703
            0.2      39.627438    0.048329768      33.789962    0.055201089      45.464916    0.055857737
            0.4      33.797528    0.048205476      28.633987    0.055660101      38.961072    0.054118154
            0.6      27.038375    0.040718181       22.68371    0.045794271      31.393039    0.048261552
            0.8      20.432762     0.04301801      16.918935    0.063794935      23.946587    0.054095774
              1      14.976689    0.033504802      12.296701    0.039100805      17.656677    0.037261328
            1.2      10.539916    0.027383549      8.5860278    0.031769679      12.493803    0.029827209
            1.4      7.1996698    0.025441434      5.8178068    0.032900673      8.5815333    0.024403112
            1.6      4.8619326    0.020929053      3.8936486    0.025732519      5.8302164    0.021326371
            1.8      3.2284418    0.017061159      2.5843858    0.020185174      3.8724984    0.017259326
              2      2.1194997    0.017114604      1.7082559    0.018351619      2.5307433    0.018899273
            2.2      1.3532195    0.015712486       1.074748    0.019674836      1.6316907    0.022181712
            2.4      0.8688777   0.0091179413     0.70949085    0.010481079      1.0282646   0.0096253562
            2.6     0.54494605   0.0074507295     0.44987016   0.0081975697     0.64002196   0.0077548548
            2.8     0.33387005   0.0082891041     0.27642697   0.0095480796     0.39131286   0.0078561387
              3     0.19671199   0.0045750295     0.16239733   0.0052506213      0.2310267   0.0046148403
            3.2     0.11777085   0.0034283027      0.1011686   0.0038747535     0.13437302   0.0034155194
            3.4    0.058622263   0.0076637025    0.034921484    0.019347949    0.082323397   0.0055998958
            3.6    0.040758625   0.0020252549    0.035427254    0.002231607    0.046090113   0.0019874038
            3.8    0.020190069   0.0016692562    0.016279432   0.0022771319    0.024100628   0.0013799082
              4    0.020190069   0.0016692562    0.016279432   0.0022771319    0.024100628   0.0013799082
