#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.027448325     0.01325587    -0.40999818    0.019398844      0.4648944   0.0093643295
           -3.8     0.13354239    0.014377232    -0.45025773    0.021396463     0.71734316    0.011303302
           -3.6     0.39132679    0.017379763    -0.35002544    0.025026073      1.1326796    0.013624878
           -3.4     0.75968098    0.022479703    -0.18886815     0.03726879      1.7082309    0.014609409
           -3.2      1.3587645    0.016653322     0.22271084    0.021854119      2.4948186     0.02805623
             -3      2.2065091    0.018598689     0.84208623    0.024370426      3.5709335    0.021050265
           -2.8      3.3941342    0.022597443      1.8194625    0.031052664      4.9688061    0.027102105
           -2.6      4.8516558    0.023408394      3.0634563     0.02762323       6.639855    0.030185387
           -2.4      6.7168842    0.028025499      4.7095271     0.02893712      8.7242401    0.042673715
           -2.2      8.7528213    0.027863071      6.6112189     0.03664933      10.894422    0.033906536
             -2      11.010395    0.027714741      8.8049766    0.032142202      13.215814    0.033974657
           -1.8      13.320076    0.028857826      11.078573    0.031913695      15.561577    0.034502491
           -1.6      15.515954    0.034143817      13.277045     0.03859461      17.754862    0.037073205
           -1.4       17.39277    0.036363277      15.198562    0.042210241      19.586977    0.037365917
           -1.2      18.908711    0.033891334       16.76214    0.037400525      21.055279      0.0377966
             -1      20.044501    0.032316074      17.989703     0.03470169      22.099299    0.037191807
           -0.8      20.614411    0.032317564      18.665287    0.034305611      22.563536    0.035997419
           -0.6      21.068023    0.036154697      19.151196    0.034635166       22.98485    0.045604919
           -0.4      21.104727    0.031797048      19.273595    0.033816434      22.935859    0.035473317
           -0.2       21.09976    0.031534801       19.30478    0.032563845      22.894738    0.038749335
              0      21.095473    0.032337643      19.281845    0.033948783      22.909101    0.035890758
            0.2      21.083884     0.03263325      19.204828    0.034404836      22.962941    0.035990199
            0.4      20.868263    0.033641928      18.954663    0.038673383      22.781864    0.034332967
            0.6      20.596463    0.032778204      18.577585    0.035294715      22.615344    0.039751235
            0.8      19.901373    0.032452142      17.792188    0.035199918       22.01056    0.036780573
              1      18.859008    0.031397365      16.700705    0.033235577      21.017309    0.035306719
            1.2      17.343939    0.032100742      15.074096    0.051953203      19.613781    0.042012673
            1.4      15.519593    0.030530692      13.281054    0.032894106      17.758133      0.0353356
            1.6      13.292436    0.028400622      11.031548    0.032673404      15.553325    0.033802188
            1.8      11.065019    0.028308852      8.8706978    0.032514172      13.259341    0.034278483
              2      8.8434446    0.025295624       6.793796    0.030221245      10.893092    0.029870883
            2.2      6.7734398    0.025615249      4.8483601    0.032019564      8.6985197    0.030345678
            2.4      5.0219174     0.02128593      3.3466113    0.025111638      6.6972229    0.026215281
            2.6      3.5016906    0.025108618      1.9997096    0.030326063      5.0036734    0.027808442
            2.8       2.340394    0.020528322      1.0565517    0.029378809      3.6242357    0.021186483
              3      1.4646796    0.026977541     0.37303236    0.041551149      2.5563271    0.019205699
            3.2     0.91121856    0.013641025    0.034835774    0.020956809      1.7876011    0.014722582
            3.4     0.50084468    0.012891404    -0.19015131    0.020289637      1.1918404    0.011728277
            3.6     0.26247882    0.012151074    -0.26695804      0.0185443     0.79191539     0.00938762
            3.8     0.11998749   0.0093873273    -0.27744406    0.014369694     0.51741906   0.0075688739
              4     0.11998749   0.0093873273    -0.27744406    0.014369694     0.51741906   0.0075688739
