#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  -0.0056775361  0.00070926558  -0.0074805377  0.00093523229  -0.0044095994  0.00073361743
             10    0.024458979  0.00066327566    0.015777043  0.00049780589    0.038615099  0.00090576274
             20     0.06893345  0.00082672957    0.047587609  0.00061785049     0.10249534   0.0011344141
             30     0.12112897  0.00058512669    0.085095448  0.00042895111     0.17712732  0.00082087906
             40     0.17001426  0.00062905132     0.12032696  0.00045573508     0.24681118  0.00089355422
             50     0.21485886  0.00060069244     0.15258647  0.00043511381     0.31087637  0.00085347318
             60     0.25853851  0.00059965754     0.18403658  0.00043125616      0.3732242  0.00085851796
             70     0.29463068  0.00069325531      0.2100073   0.0004987944     0.42479074  0.00099330075
             80     0.32319317   0.0006351235     0.23055826  0.00045685092     0.46561148  0.00090903391
             90     0.34553925  0.00069403404     0.24661573  0.00050083248     0.49760025  0.00099056964
            100     0.36039578  0.00068879088     0.25729693  0.00049729311     0.51887618  0.00098258922
            110     0.36872804  0.00072784539     0.26331972  0.00053109247     0.53075779   0.0010269242
            120     0.37210771  0.00069505723     0.26568951  0.00050220846     0.53575065  0.00099084561
            130     0.36674999  0.00074790938     0.26185939  0.00054504305     0.52807758   0.0010577301
            140     0.36077373  0.00069530535     0.25753218  0.00050538139     0.51963684  0.00098494432
            150     0.34872818  0.00069025182     0.24885706  0.00050321472     0.50248128  0.00097478509
            160     0.33456737  0.00066446821     0.23872267  0.00048539596     0.48216086  0.00093605018
            170      0.3189192  0.00062269323     0.22746008  0.00045213115     0.45984509  0.00088295756
            180     0.29959573  0.00058934254     0.21361221  0.00042765574     0.43214854  0.00083608802
            190     0.28225434  0.00060368646     0.20118772  0.00043870027     0.40728004   0.0008553277
            200     0.26241913  0.00056472331     0.18695622  0.00041728295     0.37887631  0.00078799848
            210     0.24376771  0.00059594801     0.17359608  0.00044784905     0.35211688  0.00081747796
            220     0.22628996  0.00052354805     0.16113231     0.00037998     0.32692259   0.0007424766
            230     0.20878913  0.00046878691     0.14863888  0.00033954962     0.30171802  0.00066647378
            240     0.19263071  0.00043974283     0.13709826  0.00031754265      0.2784574   0.0006271318
            250     0.17623749  0.00045704957     0.12537026  0.00033254221     0.25489682  0.00064663806
            260     0.16065072  0.00040382002     0.11422905   0.0002913079     0.23247705  0.00057642065
            270     0.14657855  0.00036509643     0.10421675  0.00026210607     0.21213288  0.00052377206
            280     0.13394429   0.0005045902    0.095165611   0.0003715056     0.19400014  0.00070433609
            290     0.12203494  0.00032599349    0.086711986  0.00023349785     0.17673976  0.00046885024
            300     0.11117621  0.00030385445    0.078978869  0.00021709711      0.1610563  0.00043813669
            310     0.10080405  0.00032623011    0.071585399  0.00023784784     0.14609037  0.00046070021
            320    0.091875091  0.00029457266    0.065220264   0.0002115126     0.13320361   0.0004225778
            330    0.083389155  0.00026477128    0.059184262  0.00018910091     0.12093293  0.00038195457
            340    0.075775869  0.00026104088    0.053761136  0.00018742869     0.10993753  0.00037456936
            350    0.068748286  0.00023442343    0.048778116  0.00016700309    0.099736861  0.00033908626
            360    0.062098095  0.00022352443    0.044038203  0.00015923021     0.09013835  0.00032335645
            370    0.056407793  0.00021994124    0.039986621   0.0001570347    0.081915567  0.00031741418
            380    0.051883142  0.00020358811    0.036774779  0.00014491117    0.075354949  0.00029477525
            390    0.046779171  0.00019324856    0.033155461  0.00013750475    0.067946715  0.00027989774
            400    0.042354335   0.0001843473    0.030014426  0.00013127177    0.061530603   0.0002668189
            410    0.038606477  0.00017386625    0.027356058  0.00012365852    0.056092359  0.00025196588
            420    0.035200106  0.00016626256     0.02493228  0.00011819656    0.051165749  0.00024106219
            430    0.031746056  0.00015789205    0.022476249  0.00011215797    0.046166339  0.00022911867
            440    0.028972431   0.0001504711    0.020516558  0.00010694961     0.04212478  0.00021823104
            450    0.026217633  0.00014183715    0.018560838  0.00010068783    0.038130473  0.00020597704
            460    0.024064171  0.00013533631    0.017039136  9.6058665e-05    0.034991955  0.00019655932
            470    0.021775949  0.00012895993    0.015415357  9.1516565e-05    0.031672979  0.00018733959
            480    0.019767697  0.00012255223     0.01399523  8.6978157e-05    0.028749769  0.00017802513
            490    0.018120743  0.00011704339    0.012827053  8.3046242e-05    0.026359743  0.00017007562
            500    0.016489293  0.00011173984    0.011671581  7.9291391e-05    0.023987705   0.0001623546
            510    0.015141576  0.00010772701    0.010713041  7.6460402e-05    0.022036451  0.00015647528
            520    0.013757247  0.00010216126   0.0097288747  7.2444453e-05    0.020033031  0.00014854751
            530    0.012450717  9.6850823e-05   0.0088046078  6.8642964e-05    0.018130696  0.00014089429
