# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3       172.2954    0.054358867      158.88905    0.056061639      185.70175    0.055727554
            3.2      86.814845    0.045984394      80.544389    0.046339384      93.085301    0.046954746
            3.4      14.048187    0.020452487       13.14019    0.020616081      14.956184    0.020712062
            3.6      2.9694063   0.0096956531      2.7892165   0.0098831265       3.149596   0.0096487609
            3.8     0.69289119   0.0056310656     0.65322393   0.0060072478     0.73255846   0.0053239089
              4     0.16416159   0.0037564945     0.15449539   0.0038748399     0.17382778   0.0036548117
            4.2     0.04197198   0.0011068656     0.03972954   0.0011174198     0.04421442   0.0011042241
            4.4    0.011046993  0.00057220749    0.010431854  0.00058186669    0.011662165  0.00056775913
            4.6   0.0022119903   0.0003399702   0.0020530034  0.00035110164   0.0023709804  0.00033210485
            4.8  0.00070027114  0.00014264547  0.00066689164  0.00014294387  0.00073365042  0.00014281615
              5  0.00070027114  0.00014264547  0.00066689164  0.00014294387  0.00073365042  0.00014281615
