# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.970146    0.020506716      13.441795    0.019940671      14.498497    0.021221827
            0.2      13.780024    0.020222613      13.237546     0.01963278      14.322503    0.020950004
            0.4      13.500895    0.019950994      12.933365    0.019297961      14.068425    0.020772217
            0.6      13.265952    0.019657132      12.666037    0.019039269      13.865866    0.020472379
            0.8      13.143992    0.019525935      12.492868    0.018829606      13.795116    0.020396448
              1      13.255571    0.019548686      12.539565    0.018792917      13.971576    0.020474568
            1.2      13.512032    0.019950676      12.711784    0.019149816      14.312279    0.020970218
            1.4       14.04496     0.01995971      13.135122    0.019218976      14.954798    0.020982652
            1.6      14.823042    0.020669829      13.768082    0.019832469      15.878002    0.021819743
            1.8      15.980645    0.021447536      14.740376    0.020704097      17.220915    0.022612133
              2      17.546589    0.022366258      16.073747    0.021653618       19.01943    0.023615032
            2.2      19.574893    0.024333526      17.804757      0.0237266      21.345029    0.025570105
            2.4      22.268539     0.02666756      20.120023    0.028456482      24.417056    0.027900157
            2.6      25.757341    0.028303605      23.190684    0.028374205      28.323997    0.029205718
            2.8      29.682642    0.031110417      26.708189    0.031413172      32.657096    0.031935695
              3      22.933717    0.028157205      20.659651    0.028930739      25.207783    0.028422505
            3.2      22.933717    0.028157205      20.659651    0.028930739      25.207783    0.028422505
