#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0036571455  0.00088245226   0.0028148238   0.0009231926   0.0044994992  0.00084523116
           -3.8   0.0088716859   0.0008090715   0.0073046925  0.00084605193    0.010438693  0.00078177175
           -3.6    0.017032242   0.0010671389      0.0140745    0.001123252    0.019990008   0.0010258601
           -3.4    0.034233645   0.0024447651    0.028243787   0.0028267995    0.040223468   0.0020922726
           -3.2    0.073098078   0.0018347202    0.062612589   0.0019082336    0.083583622   0.0018006696
             -3     0.13346626   0.0023098705     0.11530877   0.0023725636     0.15162369   0.0023030859
           -2.8     0.24155422   0.0029712261     0.20959125   0.0030460312     0.27351717   0.0030633918
           -2.6     0.41480025   0.0038394912     0.36316271   0.0038192484     0.46643777   0.0039610428
           -2.4      0.7063286   0.0051158404     0.61832645   0.0050343839     0.79433072   0.0053525625
           -2.2      1.1762004   0.0061739026      1.0345578   0.0061985635       1.317843   0.0066473017
             -2      1.8941985   0.0077823278      1.6748067   0.0076195676      2.1135903   0.0082197209
           -1.8      2.9706726    0.010461301      2.6414126    0.010505664      3.2999324    0.010828046
           -1.6      4.5672836     0.01235434      4.0890745    0.011911455      5.0454926    0.013172308
           -1.4      6.7918952    0.014644841      6.1194545    0.016658288      7.4643361    0.016535184
           -1.2      9.8050512    0.017319429       8.926058    0.016851231      10.684044    0.018283815
             -1      13.630289    0.020401663      12.511671    0.019982395      14.748906    0.021327102
           -0.8       18.04507    0.023735244        16.6913    0.023922021      19.398839     0.02433024
           -0.6      22.622136    0.025873652      21.071718    0.025264025      24.172554    0.026971465
           -0.4      26.508428    0.028471231      24.815255    0.028349572        28.2016    0.029145256
           -0.2      28.880531    0.028933802      27.111671    0.028449742      30.649391    0.029880875
              0      28.836107    0.028970477      27.070366    0.028485316      30.601848    0.029893305
            0.2      26.498961    0.027871782      24.804765    0.027289418      28.193158    0.028979828
            0.4      22.647048    0.025945929      21.099782    0.025653692      24.194314    0.026770407
            0.6      18.062235    0.023213829       16.71295    0.022741742      19.411519    0.024197634
            0.8      13.622968    0.020482275      12.498893    0.020198173      14.747043     0.02130524
              1      9.8186326    0.017278796      8.9364873    0.016931915      10.700778    0.018110559
            1.2      6.7991691    0.014493052      6.1384654     0.01406675       7.459873    0.015366724
            1.4      4.5459122    0.012145951      4.0683507    0.011830845      5.0234737    0.012914613
            1.6       2.977618   0.0097821712      2.6490394   0.0096688292      3.3061963    0.010284959
            1.8      1.8932669   0.0078660729      1.6743757   0.0077201534      2.1121579   0.0082781732
              2      1.1718568    0.006192469      1.0318477   0.0060874154      1.3118661   0.0064991013
            2.2      0.7095641   0.0050411748      0.6219383   0.0051206059     0.79718999   0.0051990042
            2.4     0.41439517   0.0038936391     0.36081304   0.0039952751     0.46797716   0.0039579665
            2.6     0.23858852   0.0030886614     0.20736959   0.0031173845     0.26980746   0.0031417682
            2.8     0.13768921   0.0023299677     0.12012699   0.0023767793     0.15525137   0.0023380522
              3    0.069405875   0.0018215778    0.059089028   0.0019245144    0.079722681   0.0017630234
            3.2    0.036905729   0.0013760838    0.031385322   0.0014545821    0.042426106   0.0013271215
            3.4    0.019170982   0.0009997503    0.016439012   0.0010386156    0.021902971  0.00097420942
            3.6    0.008980778  0.00080496994   0.0073355215  0.00084544115    0.010626017  0.00077412381
            3.8   0.0029689689  0.00060342729   0.0021997221   0.0006393586   0.0037382358  0.00057392168
              4   0.0029689689  0.00060342729   0.0021997221   0.0006393586   0.0037382358  0.00057392168
