#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.11237782   0.0032780126    0.065947234   0.0033348459     0.15880853   0.0034160408
           -3.8     0.18113221   0.0039551294     0.11366589   0.0040432605     0.24859848   0.0041107575
           -3.6     0.30543168   0.0046635394     0.20986706   0.0046638966     0.40099631   0.0049761643
           -3.4     0.50894748   0.0058095943     0.37561135   0.0060894023     0.64228379   0.0059055459
           -3.2     0.82309603   0.0066260257     0.63821209    0.010692842      1.0079804   0.0092178011
             -3      1.3039495   0.0079054996      1.0608862    0.007876476      1.5470129    0.008416986
           -2.8      1.9710884   0.0096432297      1.6574947   0.0097972589      2.2846819   0.0099666049
           -2.6      2.8875252    0.011264967      2.4967745    0.011044801      3.2782758    0.011896405
           -2.4      4.0236673    0.012595268      3.5416637    0.012719294       4.505671    0.013155163
           -2.2      5.3967108    0.013489736      4.8340865    0.013226828       5.959335    0.014171708
             -2      6.9130005    0.015323085      6.2710191     0.01518892      7.5549821    0.015983925
           -1.8      8.5143425    0.016181411      7.8053581    0.015785751      9.2233269    0.016922259
           -1.6      10.092094    0.017336696      9.3278031     0.01691985      10.856385    0.018161742
           -1.4      11.482975    0.018315812      10.679423    0.017774254      12.286528    0.019235043
           -1.2      12.638327    0.019091424      11.813434    0.018618988      13.463221    0.019881695
             -1      13.545152    0.019692142      12.715618    0.019162065      14.374686    0.020493135
           -0.8      14.071561    0.019980446      13.251326    0.019506273      14.891796    0.020710682
           -0.6      14.449688    0.021398355      13.632137    0.021971257      15.267239    0.021406708
           -0.4      14.571142    0.020384258      13.767209    0.020134946      15.375074    0.020981384
           -0.2      14.607175    0.020330118       13.81755    0.019774396      15.396799    0.021104148
              0      14.619112     0.02031367      13.827019    0.019827392      15.411205    0.021022682
            0.2      14.585882      0.0202992      13.785351    0.019771568      15.386414    0.021073648
            0.4      14.393432    0.020122237      13.586404    0.019593762       15.20046    0.020867118
            0.6      14.088625    0.020008046      13.268128    0.019487322      14.909123    0.020767929
            0.8       13.48317    0.019586964       12.65404    0.019086982        14.3123    0.020363442
              1      12.630546    0.019080194      11.809677    0.018607369      13.451416    0.019854046
            1.2      11.464477    0.018336604      10.665493    0.017915736       12.26346     0.01909688
            1.4      10.079481    0.017572053      9.3131723    0.017324153      10.845789    0.018191855
            1.6      8.4851076    0.016403689      7.7749641    0.016121931      9.1952508    0.017040087
            1.8      6.9159884    0.014822251      6.2751237     0.01455354       7.556853    0.015510822
              2      5.4066528    0.013531709      4.8466795    0.013428984      5.9666261    0.014083317
            2.2      4.0238216    0.012082752      3.5481189    0.011931808      4.4995248     0.01272835
            2.4       2.897158    0.010574668      2.5070932    0.010488766      3.2872227     0.01111191
            2.6      1.9785336   0.0093299315      1.6645707   0.0089850432      2.2924963    0.010400705
            2.8      1.2962261   0.0081180913      1.0517398   0.0084960485      1.5407122   0.0082939586
              3     0.82382114     0.00700422     0.64195921   0.0072658778      1.0056829   0.0071618941
            3.2     0.49955234   0.0056951173     0.36536631   0.0058575318     0.63373822   0.0059204789
            3.4     0.30135301   0.0049149247      0.2057855   0.0050340665     0.39692052   0.0051309313
            3.6     0.19255447   0.0039020271     0.12494508   0.0039025503     0.26016377   0.0041046361
            3.8     0.11642112   0.0032125465    0.069727712   0.0032048418     0.16311452   0.0033925193
              4     0.11642112   0.0032125465    0.069727712   0.0032048418     0.16311452   0.0033925193
