# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8137352    0.007599581      1.2932461    0.005431254      2.6158397    0.010947252
            0.2      5.0802219    0.012580145      3.6232059   0.0089965902      7.3248572    0.018108102
            0.4      7.7428253    0.015574218       5.524263     0.01114842      11.159064    0.022394731
            0.6        9.66963    0.017043027      6.9002448    0.012205616      13.932636    0.024492719
            0.8      11.145521     0.01814134      7.9556833    0.013004229      16.053685    0.026043424
              1      12.228346    0.018868099      8.7284389    0.013531243      17.613029    0.027072355
            1.2      13.184148    0.019724197      9.4115047    0.014171271      18.987281    0.028246374
            1.4       14.04183     0.01996927      10.023528    0.014342516      20.222384    0.028605495
            1.6      15.014382    0.020824393      10.716117    0.014984719      21.625825    0.029774101
            1.8      16.070055    0.021371164      11.467069    0.015368226      23.150901    0.030574139
              2       17.51783    0.022237776       12.49692    0.016009638       25.24275    0.031777117
            2.2      19.315654     0.02402767      13.775527    0.017357193      27.840786    0.034218172
            2.4      21.718124    0.025346054      15.482677    0.018290458      31.315957    0.036129376
            2.6      24.725944    0.027024419      17.614793    0.019513071      35.677784    0.038503758
            2.8       28.43186    0.029851404      20.239063    0.021653154      41.058162     0.04234546
              3      29.264788    0.030601675      20.814354    0.022127567      42.299621    0.043542182
            3.2      13.122153    0.020863777       9.313051    0.015038511       19.01544    0.029801074
            3.4      6.7444696    0.015321262      4.7784179    0.011017076      9.7935959    0.021948881
            3.6      3.8980612    0.011840165      2.7585954   0.0085016461       5.668254    0.016995014
            3.8      2.3386183   0.0091303567      1.6535386   0.0065327482      3.4041735    0.013162627
              4      1.4656402   0.0074334177      1.0360762   0.0053116031      2.1340671    0.010736403
            4.2     0.90840241   0.0059529706     0.64199131   0.0042449037      1.3230939   0.0086209475
            4.4     0.57686339   0.0047681952     0.40754714   0.0033892986     0.84042656   0.0069324332
            4.6     0.36829427   0.0039977301       0.260584   0.0028494055     0.53563604   0.0057964246
            4.8     0.23178241   0.0037914443     0.16420271   0.0026607549     0.33657498   0.0055954827
              5     0.23178241   0.0037914443     0.16420271   0.0026607549     0.33657498   0.0055954827
