#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.6639041   0.0091535389      1.9014942   0.0065509641      3.8369694    0.013163093
            0.2      7.4227961    0.015146875      5.2995801    0.010851649      10.688635     0.02175721
            0.4      10.809851    0.018073087      7.7177937    0.012954913      15.565825    0.025948001
            0.6      12.892949    0.019538198      9.2047035    0.014012156      18.565799    0.028033463
            0.8      14.026121    0.020218376      10.012155    0.014510089      20.200621    0.028988246
              1      14.502694     0.02047571      10.349828    0.014696024      20.892428    0.029353823
            1.2      14.866266    0.020696416      10.608712    0.014870956      21.417479    0.029638049
            1.4      15.182875    0.020716875      10.831165    0.014884259       21.88077    0.029668913
            1.6      15.686355    0.021052536      11.189182    0.015139578      22.608317    0.030120145
            1.8       16.46115    0.021718338      11.740308    0.015633976       23.72743    0.031040061
              2      17.643283    0.022339649      12.580008    0.016082768      25.437882    0.031925799
            2.2      19.350488    0.023627019      13.791831     0.01703643      27.909483    0.033710434
            2.4      21.641242     0.02630916      15.417382    0.019107438      31.227491    0.037277131
            2.6       24.65041     0.02736513      17.552203    0.019760112      35.587074    0.038991576
            2.8      28.373962    0.029601329      20.190736    0.021386127      40.989237    0.042155138
              3      28.219543      0.0305749      20.059321    0.022121356      40.814019    0.043483316
            3.2      8.2953036    0.017230189      5.8713941    0.012369647      12.060472    0.024729882
            3.4      2.6954125    0.010914564      1.8996812    0.007835271      3.9394487    0.015687535
            3.6      1.0199972   0.0063727167     0.71665797    0.004491259      1.4965328   0.0093522204
            3.8      0.3940578   0.0041991694     0.27646978   0.0029287913     0.57925266   0.0062407773
              4      0.1571914    0.002977656     0.11010363   0.0020608216     0.23154032   0.0044663535
            4.2     0.05617269   0.0034057188    0.039437242   0.0024405866    0.082478414   0.0049120442
            4.4    0.022072597   0.0014261057    0.015613322  0.00096296634    0.032119672   0.0022011239
            4.6   0.0060349963  0.00093493873   0.0043876987    0.000628196   0.0084646913    0.001453785
            4.8    0.001499942  0.00077767309   0.0011967511  0.00060473743   0.0019146429   0.0010245345
              5    0.001499942  0.00077767309   0.0011967511  0.00060473743   0.0019146429   0.0010245345
