#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.36482482   0.0059171462     0.24827781    0.004343667     0.54939084   0.0082798179
            0.2     0.85600471   0.0087052935     0.58798049   0.0064216457       1.278222    0.012117372
            0.4      1.2107102   0.0096604416     0.83680784   0.0071342076      1.7976315    0.013432618
            0.6      1.5535078    0.010228172      1.0797493    0.007544928      2.2946464    0.014239659
            0.8      1.8535776    0.010499162      1.2927411   0.0077324884      2.7292009    0.014640785
              1        2.20822    0.011526332      1.5457156   0.0086227452      3.2401983    0.015825036
            1.2      2.6925354     0.01107878      1.8923017   0.0081289637      3.9357413    0.015513462
            1.4      3.4694623     0.01247563       2.448482   0.0091820977      5.0508664    0.017416226
            1.6      4.6374208    0.012670291      3.2850023   0.0092287212      6.7264611    0.017879167
            1.8      6.4737731    0.013940769      4.5996964    0.010103372      9.3620964    0.019773811
              2      9.4049908    0.016408045      6.6977157    0.011870653      13.570472    0.023316014
            2.2      14.375156    0.020165973      10.254984    0.014569472      20.706826    0.028697023
            2.4      22.617178    0.024472268      16.152944    0.017632887      32.544125    0.034923871
            2.6      36.600553    0.030698555      26.155889    0.022105419      52.636753    0.043844528
            2.8      58.471079    0.037816888      41.794672    0.027200547      84.079829    0.054085316
              3       73.35306    0.041938479      52.395077    0.030136528      105.57634    0.060058131
            3.2      23.421628    0.026565466       16.63507    0.019006887      33.941051    0.038254562
            3.4      8.2210539     0.01704962      5.7984684    0.012116683      12.011985    0.024752201
            3.6      3.2538533    0.012235667      2.2803064   0.0086738606      4.7906544    0.017828502
            3.8      1.3209448   0.0078063919     0.92010964   0.0054518341      1.9586456    0.011565582
              4     0.51942719   0.0058632642     0.36030075   0.0040638312     0.77398377   0.0087680331
            4.2     0.18215608   0.0037466792     0.12672082   0.0025669691     0.27059325   0.0056789529
            4.4    0.049026036   0.0026973343    0.034750645   0.0018206741    0.071253774   0.0041584214
            4.6  -0.0049307076   0.0021015833   -0.010412912   0.0033059793  -0.0022117302   0.0013920021
            4.8   -0.016812606   0.0016151757   -0.027999394   0.0025625837   -0.010508661   0.0010614912
              5   -0.016812606   0.0016151757   -0.027999394   0.0025625837   -0.010508661   0.0010614912
