#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.003020065  0.00085689613   0.0021980005  0.00057036048   0.0042346314   0.0013424586
           -3.8   0.0085559352  0.00078637528   0.0060827992  0.00053427551    0.012375867   0.0012055639
           -3.6    0.020075903   0.0010221675    0.014064612  0.00069632442    0.029566305   0.0015628449
           -3.4    0.038202432   0.0013673342    0.026705342  0.00094240337    0.056406027   0.0020621988
           -3.2    0.070306586    0.001786123     0.04918241   0.0012411325     0.10373611   0.0026673018
             -3     0.13170842   0.0023312151    0.092126601   0.0016256446     0.19435263   0.0034666978
           -2.8     0.23470036   0.0043734729     0.16412313     0.00317113     0.34635737   0.0062248154
           -2.6     0.41354168   0.0039305029     0.29006193    0.002762815     0.60810123   0.0057889521
           -2.4     0.70958886    0.004991195     0.49873227   0.0035238881       1.040931   0.0073079657
           -2.2      1.1752299    0.006229445     0.82774507   0.0044204916      1.7195807   0.0090664788
             -2      1.8889006   0.0080299628      1.3325352   0.0057406758      2.7582142    0.011588957
           -1.8      2.9748409    0.010021386      2.1034566    0.007183094      4.3320305    0.014414308
           -1.6       4.553671    0.012227316      3.2262436   0.0087659741      6.6152539    0.017572017
           -1.4      6.7948603    0.014526315      4.8231128    0.010427937      9.8488213    0.020838651
           -1.2      9.8111624    0.017132615      6.9753128    0.012308313      14.193332    0.024550324
             -1      13.623817    0.020289123      9.6992968    0.014610299      19.676127    0.028995025
           -0.8      18.044482    0.023253793      12.863209    0.016753555      26.020693    0.033206777
           -0.6        22.6007     0.02625324       16.12461    0.019008532      32.558314     0.03730876
           -0.4      26.559573    0.028075992      18.960449    0.020249075      38.234556    0.040041649
           -0.2      28.862137    0.029293206      20.609911    0.021153531      41.535685    0.041722106
              0      28.859895     0.02900006      20.609107    0.020916592      41.530725    0.041352491
            0.2       26.53295    0.027871292      18.941075    0.020098875      38.196897     0.03975182
            0.4       22.61239    0.025855176      16.132924    0.018640198       32.57553    0.036891536
            0.6      18.046878    0.023260343      12.864311    0.016765554      26.025601    0.033201182
            0.8      13.607589     0.02020298      9.6892246    0.014528677      19.649554    0.028911577
              1      9.8175187    0.017936087      6.9796128    0.012931616      14.202944    0.025605719
            1.2      6.8036365    0.014381821      4.8286673    0.010319478      9.8629997    0.020642564
            1.4      4.5436268    0.011733507       3.219133   0.0083946717      6.6005747    0.016899708
            1.6      2.9705183   0.0097554121      2.1001741   0.0069726101      4.3261854    0.014072986
            1.8      1.8979058   0.0077369908      1.3393535   0.0055168012      2.7703416    0.011196977
              2      1.1748344   0.0073468547      0.8275695   0.0052637053      1.7188117    0.010574474
            2.2      0.7141079   0.0053150958     0.50176205   0.0037869637      1.0479272    0.007705507
            2.4      0.4192689    0.003911864     0.29417824   0.0027592399     0.61634906    0.005738098
            2.6     0.24447137   0.0030062911     0.17127058   0.0021058131      0.3600634   0.0044480232
            2.8     0.13496163   0.0023325813    0.094285798   0.0016253846     0.19941287   0.0034717522
              3    0.073294065   0.0017494813    0.051271366   0.0012122361     0.10815675   0.0026215219
            3.2    0.036956967   0.0013045376    0.025844347  0.00090044376    0.054563145   0.0019628377
            3.4    0.016400417   0.0029845788     0.01139647   0.0021658036    0.024368448   0.0042354469
            3.6   0.0087077802  0.00083585747    0.006161357  0.00056235771    0.012669043   0.0012956841
            3.8   0.0032475523  0.00064483577   0.0023541815  0.00043498417   0.0045792012  0.00099669192
              4   0.0032475523  0.00064483577   0.0023541815  0.00043498417   0.0045792012  0.00099669192
