# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.67840838              0    -0.68475837              0    -0.67205839              0
            0.2     -0.7293648              0    -0.73516372              0    -0.72356588              0
            0.4    -0.80952379              0    -0.81525948              0     -0.8037881              0
            0.6    -0.91595873              0    -0.92121094              0    -0.91070652              0
            0.8     -1.0570857              0     -1.0621596              0     -1.0520118              0
              1     -1.2488146              0     -1.2539319              0     -1.2436973              0
            1.2     -1.4856198              0     -1.4907713              0     -1.4804683              0
            1.4     -1.8058292              0     -1.8111828              0     -1.8004756              0
            1.6     -2.2387886              0     -2.2444556              0     -2.2331216              0
            1.8     -2.8320826              0     -2.8382714              0     -2.8258938              0
              2     -3.6534463              0     -3.6609905              0     -3.6459021              0
            2.2     -4.7975189              0      -4.805225              0     -4.7898128              0
            2.4     -6.5012788              0     -6.5100933              0     -6.4924643              0
            2.6     -9.0325002              0     -9.0429161              0     -9.0220843              0
            2.8     -13.458324              0     -13.470518              0      -13.44613              0
              3     -16.976387              0     -16.992835              0     -16.959939              0
            3.2     -16.976387              0     -16.992835              0     -16.959939              0
